signal,label,source,family,reliability,unit,month,fiscal_year,value,peer_value,n,latency
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-04,FY24,102.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-05,FY24,103.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-06,FY24,104.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-07,FY24,105.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-08,FY24,106.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-09,FY24,107.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-10,FY24,108.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-11,FY24,108.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2023-12,FY24,109.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-01,FY24,110.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-02,FY24,111.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-03,FY24,112.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-04,FY25,113.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-05,FY25,114.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-06,FY25,115.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-07,FY25,116.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-08,FY25,117.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-09,FY25,118.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-10,FY25,119.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-11,FY25,120.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2024-12,FY25,121.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2025-01,FY25,122.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2025-02,FY25,123.0,,189,2.5
comp_estate,Largest competitor estate,Companies House,Regulatory filings,0.95,practices,2025-03,FY25,124.0,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2022-10,FY23,1.4791666666666667,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2022-11,FY23,1.4639175257731958,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2022-12,FY23,1.4489795918367347,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-01,FY23,1.4343434343434343,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-02,FY23,1.42,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-03,FY23,1.4059405940594059,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-04,FY24,1.4019607843137254,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-05,FY24,1.3883495145631068,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-06,FY24,1.4134615384615385,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-07,FY24,1.4,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-08,FY24,1.4245283018867925,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-09,FY24,1.439252336448598,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-10,FY24,1.4351851851851851,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-11,FY24,1.4351851851851851,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2023-12,FY24,1.4311926605504588,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-01,FY24,1.4181818181818182,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-02,FY24,1.4504504504504505,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-03,FY24,1.4553571428571428,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-04,FY25,1.4601769911504425,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-05,FY25,1.4649122807017543,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-06,FY25,1.4782608695652173,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-07,FY25,1.4827586206896552,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-08,FY25,1.5042735042735043,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-09,FY25,1.5084745762711864,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-10,FY25,1.504201680672269,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-11,FY25,1.5083333333333333,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2024-12,FY25,1.5206611570247934,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2025-01,FY25,1.5163934426229508,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2025-02,FY25,1.5284552845528456,,189,2.5
estate_lead,Estate size vs largest competitor,Companies House,Regulatory filings,0.95,x,2025-03,FY25,1.5241935483870968,,189,2.5
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2022-10,FY23,0.38131041890440387,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2022-11,FY23,0.3788687299893277,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2022-12,FY23,0.37645811240721105,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-01,FY23,0.37407797681770283,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-02,FY23,0.3717277486910995,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-03,FY23,0.3694068678459938,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-04,FY24,0.368746776689015,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-05,FY24,0.36647872885699645,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-06,FY24,0.3706505295007564,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-07,FY24,0.3684210526315789,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-08,FY24,0.3724716329551061,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-09,FY24,0.3748782862706913,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-10,FY24,0.374215354901014,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-11,FY24,0.374215354901014,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2023-12,FY24,0.37356321839080464,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-01,FY24,0.37142857142857144,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-02,FY24,0.37669630322882547,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-03,FY24,0.3774895785085688,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-04,FY25,0.3782668500687758,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-05,FY25,0.37902859736722655,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-06,FY25,0.3811659192825112,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-07,FY25,0.3818827708703375,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-08,FY25,0.38528896672504376,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-09,FY25,0.38594969644405897,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-10,FY25,0.3852776582006027,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-11,FY25,0.3859275053304904,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2024-12,FY25,0.38785834738617203,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2025-01,FY25,0.3871912934282126,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2025-02,FY25,0.3890728476821192,,4100,3.0
corp_share,Share of corporate-owned practices,Gain.Pro,Market data,0.75,%,2025-03,FY25,0.38840937114673246,,4100,3.0
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2022-10,FY23,8.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2022-11,FY23,7.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2022-12,FY23,7.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-01,FY23,12.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-02,FY23,10.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-03,FY23,9.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-04,FY24,9.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-05,FY24,13.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-06,FY24,12.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-07,FY24,15.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-08,FY24,13.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-09,FY24,14.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-10,FY24,13.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-11,FY24,19.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2023-12,FY24,17.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-01,FY24,24.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-02,FY24,26.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-03,FY24,26.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-04,FY25,25.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-05,FY25,26.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-06,FY25,30.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-07,FY25,30.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-08,FY25,28.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-09,FY25,33.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-10,FY25,35.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-11,FY25,36.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2024-12,FY25,39.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2025-01,FY25,38.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2025-02,FY25,43.0,,88,0.5
staff_mentions,Transcripts citing vet recruitment difficulty,AlphaSense,Expert network,0.7,per month,2025-03,FY25,43.0,,88,0.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2022-10,FY23,0.06057820084264125,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2022-11,FY23,0.05108913430186491,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2022-12,FY23,0.05122082497770788,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-01,FY23,0.0541878051460529,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-02,FY23,0.05385426070362737,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-03,FY23,0.05469367905078045,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-04,FY24,0.048754207467533235,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-05,FY24,0.05745355423194224,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-06,FY24,0.04889954868354956,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-07,FY24,0.053320304227494016,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-08,FY24,0.056917015899642945,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-09,FY24,0.05546162064521978,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-10,FY24,0.048658305300438354,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-11,FY24,0.043306590610200035,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2023-12,FY24,0.04843039572375451,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-01,FY24,0.044120846751154394,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-02,FY24,0.046742199803231486,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-03,FY24,0.047892029866823935,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-04,FY25,0.05245859590126545,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-05,FY25,0.059238553121934316,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-06,FY25,0.05093959383382716,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-07,FY25,0.06857570887773025,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-08,FY25,0.0523476367428181,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-09,FY25,0.05423606997457358,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-10,FY25,0.04863919166086175,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-11,FY25,0.06200659081853701,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2024-12,FY25,0.0509769802021468,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2025-01,FY25,0.06103167832989801,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2025-02,FY25,0.056977496671209486,,3,1.5
sector_lfl,Listed comparable like-for-like growth,S&P Capital IQ,Market data,0.9,%,2025-03,FY25,0.05720265144446823,,3,1.5
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2022-10,FY23,14.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2022-11,FY23,10.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2022-12,FY23,13.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-01,FY23,12.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-02,FY23,9.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-03,FY23,10.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-04,FY24,11.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-05,FY24,13.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-06,FY24,13.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-07,FY24,15.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-08,FY24,15.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-09,FY24,16.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-10,FY24,16.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-11,FY24,15.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2023-12,FY24,14.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-01,FY24,17.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-02,FY24,15.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-03,FY24,19.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-04,FY25,13.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-05,FY25,12.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-06,FY25,15.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-07,FY25,15.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-08,FY25,16.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-09,FY25,20.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-10,FY25,23.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-11,FY25,14.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2024-12,FY25,18.0,,284,2.0
peer_deals,Sector transactions completed,Preqin,Market data,0.82,per month,2025-01,FY25,22.0,,284,2.0
