practice_id,name,region,cohort,acquired_month,base_rev,quality
P036,Orwell Pet Clinic,Scotland,Legacy,,66488.4062451435,4.7940233531906165
P037,Cranfield Animal Hospital,Scotland,Legacy,,103434.75391739828,4.671016342842884
P038,Tavistock Veterinary Practice,South East,Legacy,,50119.26553267998,4.109466940446964
P039,Ashgrove Veterinary Centre,Wales,Legacy,,62822.82307720956,4.833961597014092
P040,Wraysbury Veterinary Centre,Wales,Legacy,,56918.562699070215,4.450215430950542
P041,Latimer Veterinary Centre,South West,Legacy,,66053.71324317006,4.06568603828591
P042,Harlow Animal Care,Scotland,Legacy,,122379.06926768263,4.8982533831900295
P043,Latimer Vets,South East,Legacy,,104027.91273049502,4.278837244447711
P044,Dunmore Pet Clinic,South East,Legacy,,46168.03574048966,4.346040983278023
P045,Ilkley Vet Clinic,Midlands,Legacy,,60365.49089249799,4.251487415123008
P046,Sandhurst Veterinary Surgery,North East,Legacy,,72021.05755463192,4.392749671686209
P047,Ashgrove Animal Hospital,North East,Legacy,,75759.01802229635,4.365916234522596
P048,Harlow Vet Clinic,South West,Legacy,,53828.116021813286,4.155390218240006
P049,Cranfield Vets,South East,Legacy,,61377.38933838634,4.664727750199014
P050,Ingleton Veterinary Centre,South East,Legacy,,84984.24669769713,4.806821566238231
P051,Draycott Veterinary Surgery,Scotland,Legacy,,93516.45208560533,4.318844474969608
P052,Pentland Vet Clinic,North East,Legacy,,46963.12564837469,4.720183689109034
P053,Brackley Vet Clinic,North West,Legacy,,59161.31701804511,4.74270295760469
P054,Alderley Veterinary Practice,North West,Legacy,,105391.35922498454,4.34627853232226
P055,Marlowe Vet Clinic,Midlands,Legacy,,112216.06901785672,4.373497214671588
P056,Langdale Animal Hospital,South West,Legacy,,72560.13520943606,4.165283169251235
P057,Pentland Animal Care,Scotland,Legacy,,51558.461406165305,4.468295666907905
P058,Quorn Vet Clinic,South East,Legacy,,48251.361837228265,4.696467806089044
P059,Bellingham Veterinary Surgery,South West,Legacy,,110754.46626883565,4.689441378100533
P060,Pentland Animal Hospital,Midlands,Legacy,,62485.618556386245,4.3942823879698985
P061,Hollinwood Veterinary Centre,North East,Legacy,,65166.23998015195,4.381934654150326
P062,Orwell Vets,Scotland,Legacy,,27267.52635587985,4.539146100791382
P063,Orwell Vet Clinic,North West,Legacy,,59397.56081454711,4.6200106124195734
P064,Alderley Vets,Scotland,Legacy,,71253.35914886712,4.3908957633617085
P065,Fairhurst Animal Care,Midlands,Legacy,,58517.163000395034,4.547807277979176
P066,Dunmore Animal Hospital,North West,Legacy,,69465.97966005676,4.367690703209971
P067,Yarrow Veterinary Surgery,North West,Legacy,,57729.326996939744,4.044085690891631
P068,Yarrow Veterinary Practice,Scotland,Legacy,,92388.1295840948,4.172746312794829
P069,Harlow Veterinary Practice,North West,Legacy,,74877.61585467398,4.415421507188943
P070,Alderley Veterinary Surgery,Midlands,Legacy,,59724.275946580856,4.252574971299969
P071,Draycott Veterinary Centre,Midlands,Legacy,,65896.0002528895,4.108880356369675
P072,Wraysbury Animal Care,North East,Legacy,,90232.25384807315,4.1264322294605815
P073,Elmswood Veterinary Practice,South West,Legacy,,74785.82284307572,4.525517501785863
P074,Orwell Pet Clinic,North West,Legacy,,93938.4443986447,4.298325839696175
P075,Hollinwood Veterinary Practice,North East,Legacy,,70383.59376324399,4.619160355492418
P076,Fairhurst Veterinary Practice,North West,Legacy,,70269.64849010718,4.256344708713253
P077,Tavistock Vet Clinic,South East,Legacy,,61835.09373964676,4.349214205616286
P078,Cranfield Veterinary Surgery,North West,Legacy,,68047.83633506428,4.26203045764929
P079,Langdale Vets,South East,Legacy,,110885.4306654484,4.632827380863116
P080,Draycott Animal Care,Midlands,Legacy,,48848.76958611822,4.5444172257442235
P081,Kestrel Vale Veterinary Centre,North East,Legacy,,111828.2272105336,4.733240411801366
P082,Coniston Veterinary Centre,South West,Legacy,,93379.71813548112,4.417993515721656
P083,Draycott Veterinary Surgery,South West,Legacy,,147673.76781925053,4.482328045372565
P084,Sandhurst Vet Clinic,South East,Legacy,,65575.28981207518,4.231710908584081
P085,Fairhurst Vets,North West,Legacy,,65753.4266770267,4.265693271462287
P086,Yarrow Veterinary Centre,Midlands,Legacy,,75282.17943925758,4.289738718796738
P087,Bellingham Animal Care,Wales,Legacy,,62823.73791655185,4.786318197461105
P088,Brackley Pet Clinic,Scotland,Legacy,,129607.42634153922,4.4075731442225505
P089,Langdale Vet Clinic,South East,Legacy,,65511.75822990371,4.552696079532831
P090,Ashgrove Veterinary Surgery,North West,Legacy,,45746.97748021779,4.812028228945682
P091,Hollinwood Veterinary Centre,South West,Legacy,,93145.5906173604,3.930202060743912
P092,Redmayne Pet Clinic,North West,Legacy,,108340.19920335819,4.372756102537672
P093,Orwell Animal Care,North East,Legacy,,113119.76410258202,4.256672238626945
P094,Newbold Animal Care,South West,Legacy,,121101.86741576092,4.1250677560434195
P095,Ashgrove Veterinary Surgery,North West,Legacy,,96842.03598013977,4.42937039061343
P096,Ashgrove Vets,South East,Legacy,,88269.25787894154,4.1919430032081335
P097,Tavistock Veterinary Surgery,Scotland,Legacy,,82193.345001603,4.197858621345069
P098,Coniston Pet Clinic,Midlands,Legacy,,51642.888094144255,4.371495394732072
P099,Latimer Vet Clinic,North East,Legacy,,60067.81125570088,4.568062089582142
P100,Ferndale Vets,North West,Legacy,,35259.950577602634,4.519071754339933
P101,Pentland Pet Clinic,Scotland,Legacy,,94902.55315676404,4.601143588447111
P102,Kinross Veterinary Practice,North West,Legacy,,105028.12454597125,4.4237689638207245
P103,Ilkley Veterinary Surgery,South East,Legacy,,110891.39628042435,4.549907811819103
P104,Hollinwood Animal Care,South East,Legacy,,65918.26660849042,4.458970400024608
P105,Ingleton Pet Clinic,North East,Legacy,,65901.09744441458,4.453720860546268
P106,Uppingham Veterinary Surgery,South East,Legacy,,39315.515049551024,4.8257561371477244
P107,Sandhurst Pet Clinic,South East,Legacy,,98002.86839799235,4.325379973363796
P108,Yarrow Animal Care,South East,Legacy,,103761.7013085865,4.432465826613017
P109,Redmayne Pet Clinic,South East,Legacy,,53525.77336343055,4.773232853340537
P110,Kestrel Vale Pet Clinic,North East,Legacy,,115186.40293975624,4.582940141291279
P111,Ferndale Animal Hospital,Wales,Legacy,,75391.7073720558,4.816210233622373
P112,Ingleton Veterinary Surgery,North West,Legacy,,72562.63759700494,4.968956125705819
P113,Ferndale Vet Clinic,North East,Legacy,,66616.07994957075,4.7112122846860025
P114,Redmayne Vets,North West,Legacy,,43772.100610979054,4.042292629108934
P115,Marlowe Veterinary Surgery,South East,Legacy,,39736.864001893424,4.625401412651003
P116,Coniston Veterinary Surgery,South East,Legacy,,35082.344407651464,4.74734807024761
P117,Uppingham Veterinary Centre,South East,Legacy,,101214.96241821744,4.640421816269115
P118,Tavistock Pet Clinic,Midlands,Legacy,,91113.77127294253,4.427876101712825
P119,Marlowe Pet Clinic,Midlands,Legacy,,104338.95073260531,4.474897588588823
P120,Elmswood Veterinary Centre,Midlands,Legacy,,65545.04790819394,4.421776753269703
P121,Garforth Pet Clinic,Midlands,Legacy,,66722.78730701144,4.515473574953824
P122,Orwell Animal Care,North West,Legacy,,105888.73219947213,4.662541521010684
P123,Bellingham Pet Clinic,South West,Legacy,,109971.88705187295,4.228344020589285
P124,Bellingham Animal Hospital,South East,Legacy,,45333.24201309417,4.701647494146782
P125,Wraysbury Veterinary Practice,North East,Legacy,,74309.31915784557,4.4428065799140235
P126,Fairhurst Veterinary Surgery,North East,Legacy,,56528.97174412475,4.6233758444390975
P127,Newbold Animal Hospital,Scotland,Legacy,,61239.71408292326,4.558081291118134
P128,Quorn Veterinary Practice,Scotland,Legacy,,53523.911970838075,4.690935901187072
P129,Cranfield Animal Hospital,Midlands,Legacy,,61934.28876153438,4.490060474666105
P130,Uppingham Veterinary Surgery,Wales,Legacy,,104824.14769467285,4.860973258716399
P131,Kinross Veterinary Centre,Scotland,Legacy,,69534.24610374145,4.36054129321677
P132,Newbold Veterinary Centre,Scotland,Legacy,,64996.45698241524,4.4363921337780345
P133,Langdale Veterinary Practice,Midlands,Legacy,,108378.70643788367,4.519439259897094
P134,Cranfield Veterinary Practice,South West,Legacy,,103538.23242539907,4.412236642171619
P135,Harlow Veterinary Centre,South East,Legacy,,105540.40023494733,4.380205419893702
P136,Newbold Animal Hospital,Scotland,Legacy,,79072.30283301088,4.609098015806868
P137,Elmswood Pet Clinic,Scotland,Legacy,,99093.30630081941,4.3462132871810395
P138,Granton Animal Hospital,Scotland,Legacy,,72504.09697789546,4.425587266414337
P139,Pentland Animal Care,South East,Legacy,,74401.87074024674,4.720418758368055
P140,Garforth Pet Clinic,South East,Legacy,,70633.46223573702,4.24325744426241
P141,Sandhurst Vets,South West,Legacy,,71646.7969663749,4.488129711605545
P142,Fairhurst Vet Clinic,North East,Legacy,,94086.13502960764,4.496378764401376
P143,Alderley Veterinary Surgery,South West,Acquired,2024-02,70038.51599334489,4.689749438093089
P144,Wraysbury Animal Care,South West,Acquired,2023-10,108824.88330287841,4.450928825711649
P145,Alderley Pet Clinic,South West,Acquired,2023-08,40987.35153171089,4.673185084184786
P146,Ingleton Vets,South East,Acquired,2023-12,58067.79707820247,4.64965032983179
P147,Brackley Pet Clinic,Wales,Acquired,2024-02,52999.06678829206,4.325698116500544
P148,Alderley Animal Care,South West,Acquired,2023-08,43457.937539912586,4.488478410329979
P149,Dunmore Animal Care,Scotland,Acquired,2023-09,69610.13222153658,4.292964327972827
P150,Kestrel Vale Veterinary Practice,North West,Acquired,2024-02,77003.55209536037,4.002463043622087
P151,Orwell Veterinary Surgery,South West,Acquired,2023-08,100494.76074568888,4.189551385574558
P152,Quorn Vet Clinic,Midlands,Acquired,2023-06,47299.44174756157,4.364280280303128
P153,Cranfield Vet Clinic,Scotland,Acquired,2024-02,72035.93733844579,4.9375171903512864
P154,Hollinwood Vets,South East,Acquired,2023-04,49708.96212216683,4.646489048175449
P155,Newbold Vets,Wales,Acquired,2023-08,56629.09999228344,4.286580124795174
P156,Yarrow Animal Care,South East,Acquired,2023-06,50938.61471696195,4.332431453199711
P157,Latimer Pet Clinic,Midlands,Acquired,2023-09,61297.49727559827,4.352715965130267
P158,Redmayne Vet Clinic,South East,Acquired,2024-03,62725.73587449055,4.588857812571323
P159,Cranfield Animal Hospital,South East,Acquired,2023-06,80540.31484962083,3.9266557188410105
P160,Tavistock Vets,North West,Acquired,2024-02,36113.495701597414,4.673925772442224
P161,Cranfield Pet Clinic,North West,Acquired,2024-03,36572.383435609605,4.33777770113152
P162,Kinross Veterinary Surgery,South East,Acquired,2023-09,64399.84692499865,4.475437090351273
P163,Ashgrove Veterinary Practice,South East,Acquired,2023-06,50914.367873432464,4.521116578318448
P164,Granton Vet Clinic,South West,Acquired,2024-12,65210.1897578654,4.28373208570615
P165,Newbold Pet Clinic,Midlands,Acquired,2024-08,73576.030342967,4.623377823214032
P166,Bellingham Vets,South East,Acquired,2024-05,90946.3167735301,4.351634792731095
P167,Kinross Veterinary Centre,South West,Acquired,2025-01,74656.35230565321,4.406515870076949
P168,Alderley Animal Care,North West,Acquired,2024-04,45580.09765623644,4.0483423997004415
P169,Ingleton Animal Care,Midlands,Acquired,2024-10,100327.70672994283,4.455903481472628
P170,Coniston Vet Clinic,North East,Acquired,2024-08,59726.9790794781,4.7380432048053756
P171,Coniston Animal Hospital,North West,Acquired,2025-02,33027.94999409289,4.285705684359234
P172,Cranfield Veterinary Centre,Midlands,Acquired,2024-11,62416.482129196396,4.29187073833476
P173,Granton Animal Hospital,South East,Acquired,2025-02,110097.77134067254,4.564132113189309
P174,Sandhurst Veterinary Surgery,North West,Acquired,2024-12,44924.593447503124,4.484141649513776
P175,Harlow Animal Care,South West,Acquired,2025-02,44840.93014021014,4.4715041734551
P176,Kestrel Vale Animal Care,Midlands,Acquired,2024-07,44004.40937404548,4.4474369295935325
P177,Harlow Vet Clinic,South East,Acquired,2024-08,39859.50032355036,4.608076716197382
P178,Pentland Veterinary Surgery,North West,Acquired,2024-11,30271.06464474874,4.38819475731726
P179,Uppingham Veterinary Surgery,South East,Acquired,2024-07,57800.44755240233,4.051437194337563
P180,Langdale Vets,Midlands,Acquired,2024-09,63825.395674692,4.398244866645778
P181,Hollinwood Animal Hospital,South East,Acquired,2025-03,29444.14577896765,4.468369626507148
P182,Harlow Vets,South West,Acquired,2024-05,68465.77758476273,4.413986456980338
P183,Orwell Vets,South East,Acquired,2024-09,76614.3941579493,4.622615352344741
P184,Orwell Veterinary Centre,South West,Acquired,2024-06,40031.46029815754,4.349283935211478
P185,Ferndale Animal Hospital,South East,Acquired,2024-08,130520.65023790282,4.592109648085909
P186,Fairhurst Vet Clinic,South West,Acquired,2024-06,44109.31503281304,4.509840413592547
P187,Redmayne Veterinary Centre,North West,Acquired,2024-06,72894.85282368514,4.390354412703184
P188,Hollinwood Vets,North West,Acquired,2024-12,47107.23422536742,4.613758353387309
P189,Wraysbury Animal Care,North East,Acquired,2024-04,46093.034941650665,4.334547549611986
