practice_id,month,fiscal_year,cohort,acquired_month,region,revenue,visits,reviews,rating,in_group
P003,2024-03,FY24,Legacy,,Scotland,79311.0,826.0,22,4.46,1
P003,2024-04,FY25,Legacy,,Scotland,87908.0,916.0,19,4.46,1
P003,2024-05,FY25,Legacy,,Scotland,98152.0,1022.0,21,4.46,1
P003,2024-06,FY25,Legacy,,Scotland,95257.0,992.0,25,4.46,1
P003,2024-07,FY25,Legacy,,Scotland,92643.0,965.0,23,4.46,1
P003,2024-08,FY25,Legacy,,Scotland,95170.0,991.0,24,4.46,1
P003,2024-09,FY25,Legacy,,Scotland,83594.0,871.0,23,4.46,1
P003,2024-10,FY25,Legacy,,Scotland,103565.0,1079.0,28,4.46,1
P003,2024-11,FY25,Legacy,,Scotland,85352.0,889.0,13,4.46,1
P003,2024-12,FY25,Legacy,,Scotland,90635.0,944.0,13,4.46,1
P003,2025-01,FY25,Legacy,,Scotland,88533.0,922.0,15,4.46,1
P003,2025-02,FY25,Legacy,,Scotland,84091.0,876.0,22,4.46,1
P003,2025-03,FY25,Legacy,,Scotland,85222.0,888.0,14,4.46,1
P004,2022-10,FY23,Legacy,,North West,73351.0,764.0,15,4.47,1
P004,2022-11,FY23,Legacy,,North West,66188.0,689.0,16,4.47,1
P004,2022-12,FY23,Legacy,,North West,62823.0,654.0,15,4.47,1
P004,2023-01,FY23,Legacy,,North West,62599.0,652.0,13,4.47,1
P004,2023-02,FY23,Legacy,,North West,64405.0,671.0,29,4.47,1
P004,2023-03,FY23,Legacy,,North West,64192.0,669.0,22,4.47,1
P004,2023-04,FY24,Legacy,,North West,63922.0,666.0,12,4.47,1
P004,2023-05,FY24,Legacy,,North West,80423.0,838.0,17,4.47,1
P004,2023-06,FY24,Legacy,,North West,74408.0,775.0,20,4.47,1
P004,2023-07,FY24,Legacy,,North West,73700.0,768.0,22,4.47,1
P004,2023-08,FY24,Legacy,,North West,65500.0,682.0,9,4.47,1
P004,2023-09,FY24,Legacy,,North West,84001.0,875.0,16,4.47,1
P004,2023-10,FY24,Legacy,,North West,69611.0,725.0,10,4.47,1
P004,2023-11,FY24,Legacy,,North West,75736.0,789.0,17,4.47,1
P004,2023-12,FY24,Legacy,,North West,62548.0,652.0,16,4.47,1
P004,2024-01,FY24,Legacy,,North West,69888.0,728.0,18,4.47,1
P004,2024-02,FY24,Legacy,,North West,62191.0,648.0,10,4.47,1
P004,2024-03,FY24,Legacy,,North West,77112.0,803.0,10,4.47,1
P004,2024-04,FY25,Legacy,,North West,75782.0,789.0,16,4.47,1
P004,2024-05,FY25,Legacy,,North West,75282.0,784.0,25,4.47,1
P004,2024-06,FY25,Legacy,,North West,92700.0,966.0,28,4.47,1
P004,2024-07,FY25,Legacy,,North West,64332.0,670.0,16,4.47,1
P004,2024-08,FY25,Legacy,,North West,66446.0,692.0,19,4.47,1
P004,2024-09,FY25,Legacy,,North West,73571.0,766.0,17,4.47,1
P004,2024-10,FY25,Legacy,,North West,76521.0,797.0,18,4.47,1
P004,2024-11,FY25,Legacy,,North West,74707.0,778.0,16,4.47,1
P004,2024-12,FY25,Legacy,,North West,64955.0,677.0,11,4.47,1
P004,2025-01,FY25,Legacy,,North West,76334.0,795.0,19,4.47,1
P004,2025-02,FY25,Legacy,,North West,75714.0,789.0,16,4.47,1
P004,2025-03,FY25,Legacy,,North West,81311.0,847.0,25,4.47,1
P005,2022-10,FY23,Legacy,,North East,67897.0,707.0,16,4.27,1
P005,2022-11,FY23,Legacy,,North East,61722.0,643.0,14,4.27,1
P005,2022-12,FY23,Legacy,,North East,62718.0,653.0,17,4.27,1
P005,2023-01,FY23,Legacy,,North East,74874.0,780.0,16,4.27,1
P005,2023-02,FY23,Legacy,,North East,62621.0,652.0,16,4.27,1
P005,2023-03,FY23,Legacy,,North East,71813.0,748.0,19,4.27,1
P005,2023-04,FY24,Legacy,,North East,62836.0,655.0,11,4.27,1
P005,2023-05,FY24,Legacy,,North East,71826.0,748.0,9,4.27,1
P005,2023-06,FY24,Legacy,,North East,74450.0,776.0,21,4.27,1
P005,2023-07,FY24,Legacy,,North East,69369.0,723.0,16,4.27,1
P005,2023-08,FY24,Legacy,,North East,76347.0,795.0,15,4.27,1
P005,2023-09,FY24,Legacy,,North East,65779.0,685.0,15,4.27,1
P005,2023-10,FY24,Legacy,,North East,64487.0,672.0,11,4.27,1
P005,2023-11,FY24,Legacy,,North East,67596.0,704.0,16,4.27,1
P005,2023-12,FY24,Legacy,,North East,60577.0,631.0,11,4.27,1
P005,2024-01,FY24,Legacy,,North East,69819.0,727.0,11,4.27,1
P005,2024-02,FY24,Legacy,,North East,67911.0,707.0,20,4.27,1
P005,2024-03,FY24,Legacy,,North East,77488.0,807.0,14,4.27,1
P005,2024-04,FY25,Legacy,,North East,65147.0,679.0,16,4.27,1
P005,2024-05,FY25,Legacy,,North East,76362.0,795.0,21,4.27,1
P005,2024-06,FY25,Legacy,,North East,69672.0,726.0,19,4.27,1
P005,2024-07,FY25,Legacy,,North East,75870.0,790.0,15,4.27,1
P005,2024-08,FY25,Legacy,,North East,71708.0,747.0,9,4.27,1
P005,2024-09,FY25,Legacy,,North East,67040.0,698.0,22,4.27,1
P005,2024-10,FY25,Legacy,,North East,78187.0,814.0,18,4.27,1
P005,2024-11,FY25,Legacy,,North East,75253.0,784.0,10,4.27,1
P005,2024-12,FY25,Legacy,,North East,64463.0,671.0,12,4.27,1
P005,2025-01,FY25,Legacy,,North East,71901.0,749.0,14,4.27,1
P005,2025-02,FY25,Legacy,,North East,68957.0,718.0,17,4.27,1
P005,2025-03,FY25,Legacy,,North East,77496.0,807.0,16,4.27,1
P006,2022-10,FY23,Legacy,,North East,80374.0,837.0,20,4.15,1
P006,2022-11,FY23,Legacy,,North East,72522.0,755.0,11,4.15,1
P006,2022-12,FY23,Legacy,,North East,69457.0,724.0,15,4.15,1
P006,2023-01,FY23,Legacy,,North East,76372.0,796.0,15,4.15,1
P006,2023-02,FY23,Legacy,,North East,82961.0,864.0,20,4.15,1
P006,2023-03,FY23,Legacy,,North East,78944.0,822.0,21,4.15,1
P006,2023-04,FY24,Legacy,,North East,84975.0,885.0,15,4.15,1
P006,2023-05,FY24,Legacy,,North East,103667.0,1080.0,17,4.15,1
P006,2023-06,FY24,Legacy,,North East,83401.0,869.0,24,4.15,1
P006,2023-07,FY24,Legacy,,North East,76415.0,796.0,11,4.15,1
P006,2023-08,FY24,Legacy,,North East,82902.0,864.0,15,4.15,1
P006,2023-09,FY24,Legacy,,North East,76303.0,795.0,16,4.15,1
P006,2023-10,FY24,Legacy,,North East,78559.0,818.0,11,4.15,1
P006,2023-11,FY24,Legacy,,North East,85826.0,894.0,18,4.15,1
P006,2023-12,FY24,Legacy,,North East,69683.0,726.0,13,4.15,1
P006,2024-01,FY24,Legacy,,North East,75563.0,787.0,19,4.15,1
P006,2024-02,FY24,Legacy,,North East,82150.0,856.0,24,4.15,1
P006,2024-03,FY24,Legacy,,North East,95903.0,999.0,25,4.15,1
P006,2024-04,FY25,Legacy,,North East,78932.0,822.0,24,4.15,1
P006,2024-05,FY25,Legacy,,North East,91776.0,956.0,27,4.15,1
P006,2024-06,FY25,Legacy,,North East,95441.0,994.0,23,4.15,1
P006,2024-07,FY25,Legacy,,North East,98061.0,1021.0,32,4.15,1
P006,2024-08,FY25,Legacy,,North East,76698.0,799.0,22,4.15,1
P006,2024-09,FY25,Legacy,,North East,76332.0,795.0,11,4.15,1
P006,2024-10,FY25,Legacy,,North East,80230.0,836.0,13,4.15,1
P006,2024-11,FY25,Legacy,,North East,79455.0,828.0,6,4.15,1
P006,2024-12,FY25,Legacy,,North East,89183.0,929.0,29,4.15,1
P006,2025-01,FY25,Legacy,,North East,92735.0,966.0,19,4.15,1
P006,2025-02,FY25,Legacy,,North East,80767.0,841.0,22,4.15,1
P006,2025-03,FY25,Legacy,,North East,88489.0,922.0,19,4.15,1
P007,2022-10,FY23,Legacy,,Wales,59980.0,625.0,18,4.5,1
P007,2022-11,FY23,Legacy,,Wales,53059.0,553.0,11,4.5,1
P007,2022-12,FY23,Legacy,,Wales,53156.0,554.0,13,4.5,1
P007,2023-01,FY23,Legacy,,Wales,58575.0,610.0,17,4.5,1
P007,2023-02,FY23,Legacy,,Wales,50714.0,528.0,10,4.5,1
P007,2023-03,FY23,Legacy,,Wales,51247.0,534.0,15,4.5,1
P007,2023-04,FY24,Legacy,,Wales,51870.0,540.0,10,4.5,1
P007,2023-05,FY24,Legacy,,Wales,62445.0,650.0,18,4.5,1
P007,2023-06,FY24,Legacy,,Wales,59291.0,618.0,10,4.5,1
P007,2023-07,FY24,Legacy,,Wales,52201.0,544.0,10,4.5,1
P007,2023-08,FY24,Legacy,,Wales,59039.0,615.0,15,4.5,1
P007,2023-09,FY24,Legacy,,Wales,57985.0,604.0,10,4.5,1
P007,2023-10,FY24,Legacy,,Wales,62690.0,653.0,15,4.5,1
P007,2023-11,FY24,Legacy,,Wales,59372.0,618.0,11,4.5,1
P007,2023-12,FY24,Legacy,,Wales,46382.0,483.0,10,4.5,1
P007,2024-01,FY24,Legacy,,Wales,55139.0,574.0,15,4.5,1
P007,2024-02,FY24,Legacy,,Wales,51194.0,533.0,15,4.5,1
P007,2024-03,FY24,Legacy,,Wales,55147.0,574.0,11,4.5,1
P007,2024-04,FY25,Legacy,,Wales,51997.0,542.0,7,4.5,1
P007,2024-05,FY25,Legacy,,Wales,52103.0,543.0,13,4.5,1
P007,2024-06,FY25,Legacy,,Wales,56422.0,588.0,12,4.5,1
P007,2024-07,FY25,Legacy,,Wales,57061.0,594.0,15,4.5,1
P007,2024-08,FY25,Legacy,,Wales,53276.0,555.0,10,4.5,1
P007,2024-09,FY25,Legacy,,Wales,57592.0,600.0,11,4.5,1
P007,2024-10,FY25,Legacy,,Wales,61202.0,638.0,10,4.5,1
P007,2024-11,FY25,Legacy,,Wales,53481.0,557.0,13,4.5,1
P007,2024-12,FY25,Legacy,,Wales,59727.0,622.0,16,4.5,1
P007,2025-01,FY25,Legacy,,Wales,65083.0,678.0,12,4.5,1
P007,2025-02,FY25,Legacy,,Wales,56067.0,584.0,17,4.5,1
P007,2025-03,FY25,Legacy,,Wales,63101.0,657.0,10,4.5,1
P008,2022-10,FY23,Legacy,,North West,74093.0,772.0,10,4.38,1
P008,2022-11,FY23,Legacy,,North West,57820.0,602.0,9,4.38,1
P008,2022-12,FY23,Legacy,,North West,69700.0,726.0,18,4.38,1
P008,2023-01,FY23,Legacy,,North West,60863.0,634.0,11,4.38,1
P008,2023-02,FY23,Legacy,,North West,65019.0,677.0,12,4.38,1
P008,2023-03,FY23,Legacy,,North West,64278.0,670.0,16,4.38,1
P008,2023-04,FY24,Legacy,,North West,66893.0,697.0,14,4.38,1
P008,2023-05,FY24,Legacy,,North West,69456.0,723.0,12,4.38,1
P008,2023-06,FY24,Legacy,,North West,71557.0,745.0,14,4.38,1
P008,2023-07,FY24,Legacy,,North West,80188.0,835.0,22,4.38,1
P008,2023-08,FY24,Legacy,,North West,64992.0,677.0,13,4.38,1
P008,2023-09,FY24,Legacy,,North West,55889.0,582.0,7,4.38,1
P008,2023-10,FY24,Legacy,,North West,65200.0,679.0,13,4.38,1
P008,2023-11,FY24,Legacy,,North West,68719.0,716.0,12,4.38,1
P008,2023-12,FY24,Legacy,,North West,60064.0,626.0,10,4.38,1
P008,2024-01,FY24,Legacy,,North West,63838.0,665.0,16,4.38,1
P008,2024-02,FY24,Legacy,,North West,65536.0,683.0,19,4.38,1
P008,2024-03,FY24,Legacy,,North West,68497.0,714.0,19,4.38,1
P008,2024-04,FY25,Legacy,,North West,76843.0,800.0,15,4.38,1
P008,2024-05,FY25,Legacy,,North West,82655.0,861.0,17,4.38,1
P008,2024-06,FY25,Legacy,,North West,74313.0,774.0,21,4.38,1
P008,2024-07,FY25,Legacy,,North West,70438.0,734.0,17,4.38,1
P008,2024-08,FY25,Legacy,,North West,73134.0,762.0,15,4.38,1
P008,2024-09,FY25,Legacy,,North West,89267.0,930.0,19,4.38,1
P008,2024-10,FY25,Legacy,,North West,65293.0,680.0,8,4.38,1
P008,2024-11,FY25,Legacy,,North West,76167.0,793.0,12,4.38,1
P008,2024-12,FY25,Legacy,,North West,67117.0,699.0,23,4.38,1
P008,2025-01,FY25,Legacy,,North West,70675.0,736.0,16,4.38,1
P008,2025-02,FY25,Legacy,,North West,64933.0,676.0,14,4.38,1
P008,2025-03,FY25,Legacy,,North West,67898.0,707.0,10,4.38,1
P009,2022-10,FY23,Legacy,,North East,47950.0,499.0,9,4.43,1
P009,2022-11,FY23,Legacy,,North East,42334.0,441.0,4,4.43,1
P009,2022-12,FY23,Legacy,,North East,42669.0,444.0,7,4.43,1
P009,2023-01,FY23,Legacy,,North East,52958.0,552.0,10,4.43,1
P009,2023-02,FY23,Legacy,,North East,44351.0,462.0,7,4.43,1
P009,2023-03,FY23,Legacy,,North East,49381.0,514.0,11,4.43,1
P009,2023-04,FY24,Legacy,,North East,45128.0,470.0,13,4.43,1
P009,2023-05,FY24,Legacy,,North East,56885.0,593.0,16,4.43,1
P009,2023-06,FY24,Legacy,,North East,52186.0,544.0,8,4.43,1
P009,2023-07,FY24,Legacy,,North East,48405.0,504.0,14,4.43,1
P009,2023-08,FY24,Legacy,,North East,46569.0,485.0,6,4.43,1
P009,2023-09,FY24,Legacy,,North East,48888.0,509.0,8,4.43,1
P009,2023-10,FY24,Legacy,,North East,51731.0,539.0,7,4.43,1
P009,2023-11,FY24,Legacy,,North East,44629.0,465.0,13,4.43,1
P009,2023-12,FY24,Legacy,,North East,46529.0,485.0,7,4.43,1
P009,2024-01,FY24,Legacy,,North East,43836.0,457.0,10,4.43,1
P009,2024-02,FY24,Legacy,,North East,46537.0,485.0,12,4.43,1
P009,2024-03,FY24,Legacy,,North East,47480.0,495.0,6,4.43,1
P009,2024-04,FY25,Legacy,,North East,57070.0,594.0,9,4.43,1
P009,2024-05,FY25,Legacy,,North East,57427.0,598.0,11,4.43,1
P009,2024-06,FY25,Legacy,,North East,54150.0,564.0,8,4.43,1
P009,2024-07,FY25,Legacy,,North East,49903.0,520.0,11,4.43,1
P009,2024-08,FY25,Legacy,,North East,45594.0,475.0,10,4.43,1
P009,2024-09,FY25,Legacy,,North East,52620.0,548.0,7,4.43,1
P009,2024-10,FY25,Legacy,,North East,57264.0,597.0,12,4.43,1
P009,2024-11,FY25,Legacy,,North East,55445.0,578.0,12,4.43,1
P009,2024-12,FY25,Legacy,,North East,51737.0,539.0,14,4.43,1
P009,2025-01,FY25,Legacy,,North East,50846.0,530.0,12,4.43,1
P009,2025-02,FY25,Legacy,,North East,42248.0,440.0,3,4.43,1
P009,2025-03,FY25,Legacy,,North East,55876.0,582.0,11,4.43,1
P010,2022-10,FY23,Legacy,,South West,112117.0,1168.0,24,4.11,1
P010,2022-11,FY23,Legacy,,South West,108744.0,1133.0,30,4.11,1
P010,2022-12,FY23,Legacy,,South West,89168.0,929.0,20,4.11,1
P010,2023-01,FY23,Legacy,,South West,98384.0,1025.0,25,4.11,1
P010,2023-02,FY23,Legacy,,South West,105701.0,1101.0,21,4.11,1
P010,2023-03,FY23,Legacy,,South West,103362.0,1077.0,21,4.11,1
P010,2023-04,FY24,Legacy,,South West,111280.0,1159.0,24,4.11,1
P010,2023-05,FY24,Legacy,,South West,120755.0,1258.0,31,4.11,1
P010,2023-06,FY24,Legacy,,South West,129998.0,1354.0,31,4.11,1
P010,2023-07,FY24,Legacy,,South West,120789.0,1258.0,26,4.11,1
P010,2023-08,FY24,Legacy,,South West,104777.0,1091.0,16,4.11,1
P010,2023-09,FY24,Legacy,,South West,102827.0,1071.0,22,4.11,1
P010,2023-10,FY24,Legacy,,South West,103258.0,1076.0,21,4.11,1
P010,2023-11,FY24,Legacy,,South West,107124.0,1116.0,13,4.11,1
P010,2023-12,FY24,Legacy,,South West,102657.0,1069.0,17,4.11,1
P010,2024-01,FY24,Legacy,,South West,101820.0,1061.0,26,4.11,1
P010,2024-02,FY24,Legacy,,South West,116227.0,1211.0,27,4.11,1
P010,2024-03,FY24,Legacy,,South West,127615.0,1329.0,22,4.11,1
P010,2024-04,FY25,Legacy,,South West,109727.0,1143.0,24,4.11,1
P010,2024-05,FY25,Legacy,,South West,127601.0,1329.0,34,4.11,1
P010,2024-06,FY25,Legacy,,South West,132675.0,1382.0,25,4.11,1
P010,2024-07,FY25,Legacy,,South West,127732.0,1331.0,21,4.11,1
P010,2024-08,FY25,Legacy,,South West,122972.0,1281.0,30,4.11,1
P010,2024-09,FY25,Legacy,,South West,123899.0,1291.0,24,4.11,1
P010,2024-10,FY25,Legacy,,South West,122045.0,1271.0,26,4.11,1
P010,2024-11,FY25,Legacy,,South West,119038.0,1240.0,26,4.11,1
P010,2024-12,FY25,Legacy,,South West,121083.0,1261.0,32,4.11,1
P010,2025-01,FY25,Legacy,,South West,110054.0,1146.0,22,4.11,1
P010,2025-02,FY25,Legacy,,South West,122842.0,1280.0,20,4.11,1
P010,2025-03,FY25,Legacy,,South West,128904.0,1343.0,32,4.11,1
P011,2022-10,FY23,Legacy,,Midlands,68386.0,712.0,17,4.39,1
P011,2022-11,FY23,Legacy,,Midlands,65267.0,680.0,17,4.39,1
P011,2022-12,FY23,Legacy,,Midlands,68459.0,713.0,13,4.39,1
P011,2023-01,FY23,Legacy,,Midlands,68282.0,711.0,14,4.39,1
P011,2023-02,FY23,Legacy,,Midlands,63923.0,666.0,11,4.39,1
P011,2023-03,FY23,Legacy,,Midlands,74656.0,778.0,24,4.39,1
P011,2023-04,FY24,Legacy,,Midlands,69040.0,719.0,16,4.39,1
P011,2023-05,FY24,Legacy,,Midlands,75399.0,785.0,16,4.39,1
P011,2023-06,FY24,Legacy,,Midlands,80672.0,840.0,23,4.39,1
P011,2023-07,FY24,Legacy,,Midlands,81617.0,850.0,14,4.39,1
P011,2023-08,FY24,Legacy,,Midlands,73449.0,765.0,10,4.39,1
P011,2023-09,FY24,Legacy,,Midlands,67023.0,698.0,19,4.39,1
P011,2023-10,FY24,Legacy,,Midlands,72452.0,755.0,10,4.39,1
P011,2023-11,FY24,Legacy,,Midlands,72706.0,757.0,17,4.39,1
P011,2023-12,FY24,Legacy,,Midlands,63510.0,662.0,20,4.39,1
P011,2024-01,FY24,Legacy,,Midlands,74680.0,778.0,17,4.39,1
P011,2024-02,FY24,Legacy,,Midlands,76175.0,793.0,20,4.39,1
P011,2024-03,FY24,Legacy,,Midlands,74841.0,780.0,21,4.39,1
P011,2024-04,FY25,Legacy,,Midlands,76838.0,800.0,14,4.39,1
P011,2024-05,FY25,Legacy,,Midlands,88373.0,921.0,19,4.39,1
P011,2024-06,FY25,Legacy,,Midlands,82128.0,855.0,14,4.39,1
P011,2024-07,FY25,Legacy,,Midlands,86108.0,897.0,17,4.39,1
P011,2024-08,FY25,Legacy,,Midlands,78918.0,822.0,20,4.39,1
P011,2024-09,FY25,Legacy,,Midlands,83951.0,874.0,22,4.39,1
P011,2024-10,FY25,Legacy,,Midlands,80452.0,838.0,18,4.39,1
P011,2024-11,FY25,Legacy,,Midlands,84997.0,885.0,17,4.39,1
P011,2024-12,FY25,Legacy,,Midlands,71453.0,744.0,9,4.39,1
P011,2025-01,FY25,Legacy,,Midlands,82271.0,857.0,17,4.39,1
P011,2025-02,FY25,Legacy,,Midlands,75178.0,783.0,17,4.39,1
P011,2025-03,FY25,Legacy,,Midlands,81920.0,853.0,19,4.39,1
P012,2022-10,FY23,Legacy,,North East,76661.0,799.0,20,4.41,1
P012,2022-11,FY23,Legacy,,North East,80372.0,837.0,19,4.41,1
P012,2022-12,FY23,Legacy,,North East,75743.0,789.0,25,4.41,1
P012,2023-01,FY23,Legacy,,North East,79448.0,828.0,16,4.41,1
P012,2023-02,FY23,Legacy,,North East,70600.0,735.0,12,4.41,1
P012,2023-03,FY23,Legacy,,North East,82932.0,864.0,18,4.41,1
P012,2023-04,FY24,Legacy,,North East,81605.0,850.0,14,4.41,1
P012,2023-05,FY24,Legacy,,North East,78257.0,815.0,21,4.41,1
P012,2023-06,FY24,Legacy,,North East,86541.0,901.0,15,4.41,1
P012,2023-07,FY24,Legacy,,North East,88477.0,922.0,25,4.41,1
P012,2023-08,FY24,Legacy,,North East,85537.0,891.0,28,4.41,1
P012,2023-09,FY24,Legacy,,North East,80311.0,837.0,17,4.41,1
P012,2023-10,FY24,Legacy,,North East,83210.0,867.0,17,4.41,1
P012,2023-11,FY24,Legacy,,North East,87174.0,908.0,13,4.41,1
P012,2023-12,FY24,Legacy,,North East,90462.0,942.0,18,4.41,1
P012,2024-01,FY24,Legacy,,North East,73711.0,768.0,14,4.41,1
P012,2024-02,FY24,Legacy,,North East,72065.0,751.0,14,4.41,1
P012,2024-03,FY24,Legacy,,North East,89100.0,928.0,10,4.41,1
P012,2024-04,FY25,Legacy,,North East,95262.0,992.0,20,4.41,1
P012,2024-05,FY25,Legacy,,North East,89675.0,934.0,28,4.41,1
P012,2024-06,FY25,Legacy,,North East,85985.0,896.0,25,4.41,1
P012,2024-07,FY25,Legacy,,North East,88008.0,917.0,19,4.41,1
P012,2024-08,FY25,Legacy,,North East,90250.0,940.0,18,4.41,1
P012,2024-09,FY25,Legacy,,North East,94860.0,988.0,16,4.41,1
P012,2024-10,FY25,Legacy,,North East,93138.0,970.0,25,4.41,1
P012,2024-11,FY25,Legacy,,North East,82234.0,857.0,13,4.41,1
P012,2024-12,FY25,Legacy,,North East,85654.0,892.0,17,4.41,1
P012,2025-01,FY25,Legacy,,North East,85226.0,888.0,18,4.41,1
