stage,type,delivered,realisation,days_in_stage
Identified,Revenue,0,0.0,40.561905842932
Delivered,Cost,1,0.7198647537368932,75.6456533171207
Banked,Revenue,1,0.8717892958392867,97.2081957078124
Banked,Cost,1,1.5229981988856771,191.93006328945944
Validated,Revenue,0,0.0,63.533800837538685
In execution,Revenue,1,0.7458913166276305,109.9555315690071
In execution,Revenue,1,0.5642145781356579,11.478394549217954
Delivered,Cost,1,0.9456744085449504,58.45914922378377
Delivered,Cost,1,0.7419752780781036,115.82622411203576
Banked,Cost,1,0.43262761880340916,88.84762099416055
In execution,Revenue,1,1.015280309962963,136.57822527629585
Identified,Cost,0,0.0,17.954186751078538
Validated,Cost,0,0.0,43.85140419126373
Identified,Revenue,0,0.0,58.763590683748646
Identified,Revenue,0,0.0,43.97162359686791
Banked,Cost,1,0.46344836132947625,21.311928903623222
Validated,Cost,0,0.0,27.52396161232587
Delivered,Revenue,1,0.7170227489737552,65.94052341387334
Banked,Revenue,1,0.7856376176933577,33.0966400711571
Validated,Revenue,0,0.0,34.884892278036105
Banked,Cost,1,0.6723410357217401,50.22113170667511
In execution,Revenue,1,0.9872641328894557,49.35207337056125
Identified,Cost,0,0.0,40.58154617207964
Validated,Cost,0,0.0,20.239059013201175
Banked,Cost,1,0.9409871647884839,44.34592946868065
In execution,Cost,1,0.9435500677324574,106.63838183888838
Validated,Cost,1,0.8404502792363577,61.86719612406148
Identified,Revenue,0,0.0,82.78034135623696
Banked,Cost,1,0.7899545960708726,87.90767584945374
In execution,Cost,1,0.735728745945685,13.548887265527114
In execution,Cost,1,0.900191595922663,98.66871987116701
In execution,Revenue,1,0.9455968265328835,25.204503209552083
Validated,Cost,1,0.6468423650565904,96.23247089549568
Delivered,Revenue,1,1.0244301326820988,36.801544524565045
Validated,Cost,0,0.0,35.92211725656658
Validated,Revenue,0,0.0,79.08849804723862
Delivered,Cost,1,0.6694572662367217,26.182104751654798
Banked,Cost,1,0.9270549902410153,150.12249016586503
Validated,Cost,0,0.0,57.2639138737399
In execution,Cost,1,0.9959502954868241,52.678185825925816
Validated,Cost,1,0.8761322794454904,66.61649532370225
Delivered,Cost,1,0.9354991226867951,22.577347453656717
In execution,Cost,1,1.0974197804652883,80.38243468473465
Identified,Cost,1,0.9237223520162583,43.66797424779086
In execution,Cost,1,0.6305947518616593,55.41206098838848
Delivered,Revenue,1,0.7450095630493697,86.88602538715496
Validated,Revenue,1,0.7486790210797584,141.50755416038598
Banked,Cost,1,0.7100835553695366,54.57113975555845
In execution,Cost,1,0.9590376869257603,251.3314973833473
Identified,Cost,1,1.0498324467916085,89.65480826741933
In execution,Cost,1,0.7748582789646341,124.35690676958276
Banked,Cost,1,1.134632208173461,152.85988378856433
Banked,Cost,1,0.9200230507585875,28.75833076830685
Validated,Cost,0,0.0,32.892854642063526
Delivered,Cost,1,1.1460603123562327,65.9175994557362
Validated,Cost,1,0.8749037443003517,32.94153877107715
Delivered,Cost,1,0.9098300889838588,70.44438232155642
Delivered,Revenue,1,0.7868359474398714,70.71584550506078
Identified,Cost,1,1.0462201744497641,66.47335024130022
Identified,Revenue,0,0.0,12.097194667024873
Identified,Cost,0,0.0,110.33953951646878
In execution,Cost,1,0.7683355949795525,59.463822220054034
In execution,Cost,1,0.6086254129565625,86.79593267970068
In execution,Cost,1,0.6588655772138202,61.82720396451992
Banked,Cost,1,0.5819084339234111,7.238669965317275
Identified,Cost,0,0.0,41.79372683668463
In execution,Revenue,0,0.0,46.33094433165194
Identified,Cost,1,0.7536069627179086,38.88567702479912
Identified,Revenue,0,0.0,46.35850167467206
In execution,Cost,1,1.0675926157888156,78.24548508841434
Banked,Revenue,1,0.714731166853899,56.829293502416036
In execution,Cost,1,0.9654164353665925,76.69229406490102
Identified,Revenue,1,0.7086627860454012,71.39626649199343
In execution,Cost,1,0.7358105193330894,48.34520445263281
Banked,Revenue,1,0.8473726928578191,52.16967966839536
Delivered,Revenue,1,1.1859035088897982,7.577760578009479
Delivered,Revenue,1,0.773386365643915,130.62522107193746
Delivered,Revenue,1,0.6301062887377545,32.1773390821578
Delivered,Cost,1,0.9427935282412901,54.825792398438765
Banked,Revenue,1,1.261620185037869,148.79724845345044
Delivered,Cost,1,0.893257378405281,35.879083970022975
In execution,Cost,1,0.8269793878384067,8.442687893970179
Identified,Cost,0,0.0,54.97485223721107
Identified,Revenue,1,1.0636870260037778,196.0095282654643
Identified,Revenue,0,0.0,172.15248548105015
Banked,Revenue,1,0.7167400733718899,57.467888792683084
Banked,Revenue,1,1.1194708933462205,63.056568838658634
Delivered,Cost,1,0.9169701814380058,51.368149701482515
Identified,Cost,1,1.2290460615635617,108.55634362703428
Identified,Revenue,0,0.0,84.58039332873938
Validated,Cost,0,0.0,42.86024595331996
Banked,Revenue,1,1.0320273135379616,73.70049172476409
Delivered,Cost,0,0.0,3.0
Validated,Cost,0,0.0,55.32701520754477
In execution,Cost,1,1.1029396354345078,20.279111781787766
Banked,Cost,1,0.9150054492161663,85.46740691179107
Delivered,Cost,1,0.845468992872012,8.541116998857655
Delivered,Cost,1,0.915805014951205,59.72937232202855
Validated,Cost,1,0.8683236929545768,61.94383099909383
Delivered,Revenue,1,1.2681897739600734,24.164269629306588
Delivered,Cost,1,0.7310868493167273,62.96525345048474
Identified,Revenue,1,1.1124636554751028,35.05669834286813
In execution,Cost,1,0.9261639172965395,67.00830861562596
In execution,Revenue,1,1.0453264591082856,81.40289011455482
Validated,Revenue,1,0.645316401288727,54.27981236493682
Validated,Cost,1,0.8822424648210634,80.86375391914312
Identified,Revenue,1,0.7285438070656158,30.71824912602201
Identified,Revenue,0,0.0,67.47769486995571
Identified,Cost,1,1.0739827127883412,59.34556803401233
Identified,Cost,0,0.0,76.0898889917191
In execution,Revenue,1,0.959303916979346,63.00022160422938
In execution,Cost,1,1.3426778047505383,20.497099579140695
In execution,Revenue,1,0.6753965117669278,65.74510655339061
Identified,Revenue,0,0.0,42.63555347862228
Validated,Revenue,0,0.0,47.58135462728842
Identified,Revenue,0,0.0,83.2897821320373
Identified,Cost,0,0.0,61.86347813059018
Identified,Revenue,0,0.0,36.95730448200117
In execution,Cost,1,1.024047343078167,19.330271236298035
In execution,Cost,1,0.7920381889704741,73.68645258644403
Banked,Cost,1,1.455307225849867,55.10879708331518
Delivered,Cost,1,1.1241896466803667,34.3466318071965
In execution,Revenue,1,0.7275175992313635,40.83879379296676
In execution,Revenue,1,0.6937091021376345,220.25756296703477
In execution,Revenue,0,0.0,30.534713229850425
Delivered,Cost,1,1.0263139855812566,89.16323960068274
Banked,Revenue,1,0.7965791255259473,78.8008420426724
Delivered,Cost,1,1.0556200577281172,55.0720347650349
Delivered,Cost,1,0.9431606448527057,69.74864601657222
Validated,Revenue,0,0.0,70.29150187211094
Identified,Cost,0,0.0,68.64460154827506
Banked,Cost,1,0.8796180956698447,87.8126693000814
In execution,Revenue,1,0.6465973814971457,50.70571754821995
Validated,Revenue,0,0.0,25.121951192048645
In execution,Cost,0,0.0,116.79058055970359
Banked,Cost,1,0.8186594859189956,110.32350601709105
In execution,Cost,1,0.9278074845718303,46.427110809470584
Identified,Revenue,1,1.0745056497591847,82.92332396874112
Identified,Revenue,0,0.0,76.49745724038515
Validated,Cost,1,0.9598362533099596,26.384513064361357
In execution,Cost,0,0.0,75.82134490117912
Identified,Cost,0,0.0,39.420707292163414
In execution,Cost,1,0.9143157091264271,164.20559385985308
Identified,Cost,1,0.8732352191835544,75.44947668551494
In execution,Cost,1,1.116479235164311,53.85428867493136
Delivered,Cost,1,0.8325232891589472,155.4160296067388
Identified,Cost,0,0.0,50.68011083366424
Banked,Cost,1,0.7798525917781172,61.71281700240354
Validated,Cost,1,0.8276565787505404,68.10836062306201
In execution,Revenue,1,1.0202689214387604,102.69890980513956
In execution,Revenue,1,0.9072106860518979,79.4353826015417
In execution,Cost,1,0.9898265054014825,66.30570284528031
Validated,Cost,0,0.0,25.178957491060643
Identified,Cost,0,0.0,122.38754601768639
Identified,Cost,0,0.0,164.79548932567064
Delivered,Revenue,1,1.3804012461787607,92.91440815206094
Identified,Revenue,1,0.8401860550418571,56.27781372604019
In execution,Cost,1,0.7465396308716639,142.39998297675294
Validated,Cost,1,0.8594952184318528,322.0869900430874
Validated,Revenue,1,0.8293284642090258,16.06229700567191
Delivered,Revenue,1,0.855509747085179,33.82169541955109
In execution,Cost,1,0.8356401671256396,225.0001124743359
Validated,Cost,1,1.1219160053038522,114.96739824352431
Validated,Cost,0,0.0,106.51372372381798
Validated,Cost,1,0.9992925369506647,52.44718014159889
Identified,Cost,1,0.9086965280723288,8.404585707462516
Validated,Cost,1,0.8949496742669141,23.040179725084688
Validated,Revenue,1,0.8788640940762388,45.181954642696425
Delivered,Revenue,1,1.3118512651357963,37.96240527991563
Delivered,Cost,1,1.0058000172173494,91.69953581572035
Validated,Cost,0,0.0,91.98227916047306
In execution,Cost,1,0.8123038671203985,135.47140504929652
In execution,Cost,1,1.3462382584610906,4.595682022359149
Delivered,Cost,1,0.5912991191908483,49.32502790824891
Identified,Cost,0,0.0,45.20497887364401
Validated,Revenue,0,0.0,61.526195024012374
Identified,Revenue,1,0.9400499551995051,93.7401670871211
Identified,Cost,0,0.0,100.17701750792311
Identified,Revenue,0,0.0,79.36279663144981
Delivered,Cost,1,0.7470963452999844,114.0856844818562
Validated,Revenue,1,1.0767668550254728,12.693432347661897
