oa_id,town,x,y,population,mosaic,mosaic_name,urbanity,panel_devices,panel_rate_observed
OA00018,Tarnbrook,84.62762758696344,129.77999811835573,1283,E,Senior Security,0.122,14,0.010911925175370226
OA00019,Tarnbrook,93.5604301395715,132.54200638164986,2753,A,City Prosperity,0.635,180,0.06538321830730112
OA00020,Tarnbrook,96.168582870543,138.0769184267837,3170,L,Vintage Value,0.331,40,0.012618296529968454
OA00021,Tarnbrook,96.77860586849168,134.06096800144834,2875,O,Rental Hubs,0.67,222,0.07721739130434782
OA00022,Tarnbrook,97.16309291278957,123.41084783102235,2458,H,Aspiring Homemakers,0.207,122,0.04963384865744508
OA00023,Tarnbrook,101.82132838842062,130.01103574433847,3925,D,Rural Reality,0.327,61,0.01554140127388535
OA00024,Tarnbrook,94.64568491407378,133.54222418448205,4141,N,Urban Cohesion,0.689,200,0.04829751267809708
OA00025,Tarnbrook,99.62101564732563,127.64286953300817,2955,B,Prestige Positions,0.357,80,0.02707275803722504
OA00026,Tarnbrook,95.67454206264294,130.684275237717,2105,J,Transient Renters,0.782,126,0.05985748218527316
OA00027,Tarnbrook,113.666116825258,126.58229122935519,4288,L,Vintage Value,0.035,51,0.01189365671641791
OA00028,Tarnbrook,94.35409926650605,126.74795051010493,1319,M,Modest Traditions,0.368,32,0.024260803639120546
OA00029,Tarnbrook,96.72292881400766,130.8857714530733,4437,H,Aspiring Homemakers,0.785,196,0.04417399143565472
OA00030,Tarnbrook,95.98593633673752,132.20710472688157,3672,J,Transient Renters,0.963,202,0.05501089324618736
OA00031,Tarnbrook,89.42277092813872,134.01352042098196,3520,B,Prestige Positions,0.286,106,0.030113636363636363
OA00032,Tarnbrook,90.29328394178802,129.3905839400329,3149,H,Aspiring Homemakers,0.32,146,0.0463639250555732
OA00033,Tarnbrook,84.56592626260495,133.18589719224937,2109,F,Suburban Stability,0.124,45,0.021337126600284494
OA00034,Tarnbrook,94.74114479417048,126.72391706471092,3177,G,Domestic Success,0.373,124,0.03903053194837897
OA00035,Tarnbrook,95.99229352930382,131.02259233926827,3056,A,City Prosperity,0.837,195,0.06380890052356021
OA00036,Tarnbrook,96.70496743459626,131.22353152052136,4301,B,Prestige Positions,0.826,118,0.027435480120902116
OA00037,Tarnbrook,106.70138341207758,126.78997688885205,4000,C,Country Living,0.115,77,0.01925
OA00038,Tarnbrook,90.89181108063995,142.41878983543504,1754,D,Rural Reality,0.121,38,0.021664766248574687
OA00039,Tarnbrook,98.18644266561544,133.69772796882808,4809,J,Transient Renters,0.605,256,0.05323352048242878
OA00040,Tarnbrook,96.59193448524957,129.81369820469337,3064,G,Domestic Success,0.662,102,0.03328981723237598
OA00041,Tarnbrook,94.76052095639889,128.86997235170463,4006,F,Suburban Stability,0.542,113,0.028207688467299052
OA00042,Tarnbrook,96.74144723303742,131.61985351182315,3786,I,Family Basics,0.859,131,0.034601162176439514
OA00043,Tarnbrook,88.1197992673672,136.58292835663954,1642,A,City Prosperity,0.191,125,0.07612667478684532
OA00044,Tarnbrook,98.42656248232738,129.57748064285929,2351,N,Urban Cohesion,0.536,98,0.04168438962143769
OA00045,Tarnbrook,96.1478335961127,132.86154649746328,3565,J,Transient Renters,0.853,201,0.05638148667601683
OA00046,Tarnbrook,95.3503928066787,137.0200111541338,3555,E,Senior Security,0.398,54,0.015189873417721518
OA00047,Tarnbrook,98.80892832798757,125.01662270594171,3701,M,Modest Traditions,0.254,84,0.022696568495001353
OA00048,Tarnbrook,96.99003119159153,123.45209351243301,3634,B,Prestige Positions,0.209,125,0.03439735828288387
OA00049,Tarnbrook,99.70787825536485,135.19192367920095,1106,F,Suburban Stability,0.411,19,0.017179023508137433
OA00050,Tarnbrook,98.16743781088611,136.58008431971948,1562,F,Suburban Stability,0.398,45,0.02880921895006402
OA00051,Tarnbrook,97.55119042102456,130.77675408088896,4667,B,Prestige Positions,0.698,135,0.028926505249625027
OA00052,Tarnbrook,98.38256269495096,127.24252737650714,3058,B,Prestige Positions,0.38,83,0.02714192282537606
OA00053,Tarnbrook,95.99718379002057,128.31939667795848,1804,L,Vintage Value,0.512,14,0.007760532150776054
OA00054,Tarnbrook,95.76912231204072,130.59353691598912,3745,G,Domestic Success,0.772,108,0.02883845126835781
OA00055,Tarnbrook,97.49311667163015,134.72494608103622,2748,I,Family Basics,0.568,105,0.03820960698689956
OA00056,Tarnbrook,94.5235950816418,125.14497729998459,3586,I,Family Basics,0.279,138,0.0384829894032348
OA00057,Tarnbrook,97.9199852254396,131.28375628874147,1753,B,Prestige Positions,0.689,52,0.02966343411294923
OA00058,Tarnbrook,96.19669915438364,129.38244994111088,2212,D,Rural Reality,0.62,32,0.014466546112115732
OA00059,Tarnbrook,97.56349004707027,129.346897044818,3215,L,Vintage Value,0.571,38,0.01181959564541213
OA00060,Tarnbrook,96.06440425002123,135.13644222746288,3536,G,Domestic Success,0.565,110,0.031108597285067874
OA00061,Tarnbrook,97.20592321485881,132.62900713366548,3115,A,City Prosperity,0.781,209,0.06709470304975923
OA00062,Tarnbrook,94.93785805984349,129.5278531820796,3910,F,Suburban Stability,0.613,102,0.02608695652173913
OA00063,Tarnbrook,96.53182964867013,131.51866191400063,5407,N,Urban Cohesion,0.878,284,0.05252450527094507
OA00064,Tarnbrook,95.0289667242281,138.2267092374482,4415,B,Prestige Positions,0.318,127,0.028765571913929786
OA00065,Tarnbrook,95.91428243206342,132.81349197392387,2946,H,Aspiring Homemakers,0.862,134,0.04548540393754243
OA00066,Tarnbrook,96.34778234412667,133.50103849154814,4890,A,City Prosperity,0.756,312,0.0638036809815951
OA00067,Tarnbrook,95.9737000710202,132.60792953732815,2846,H,Aspiring Homemakers,0.895,137,0.04813773717498243
OA00068,Tarnbrook,97.80841636171397,130.41782369957963,2364,H,Aspiring Homemakers,0.646,123,0.05203045685279188
OA00069,Tarnbrook,94.187521994903,132.36895986079344,3353,O,Rental Hubs,0.714,229,0.06829704742022069
OA00070,Tarnbrook,91.06126464768111,131.81141483531013,2653,E,Senior Security,0.407,33,0.012438748586505842
OA00071,Tarnbrook,101.54722897053942,130.7205922766804,3502,E,Senior Security,0.355,43,0.012278697886921758
OA00072,Tarnbrook,93.04953341075546,132.06412809192776,2230,F,Suburban Stability,0.585,59,0.026457399103139014
OA00073,Tarnbrook,96.23281732258543,132.6216077261782,3001,I,Family Basics,0.886,128,0.042652449183605466
OA00074,Tarnbrook,94.60086880840954,128.55937142745802,1922,H,Aspiring Homemakers,0.509,103,0.05359001040582726
OA00075,Tarnbrook,91.42959756134474,132.706908640987,3770,N,Urban Cohesion,0.431,165,0.04376657824933687
OA00076,Tarnbrook,90.66081299877135,134.3515638023989,3205,E,Senior Security,0.346,34,0.010608424336973479
OA00077,Tarnbrook,99.99407077715453,136.80802607576487,3289,B,Prestige Positions,0.321,97,0.029492246883551232
OA00078,Tarnbrook,95.24890745797398,133.13573391750379,2337,L,Vintage Value,0.781,38,0.016260162601626018
OA00079,Tarnbrook,99.09626055910147,131.61709884051876,1604,I,Family Basics,0.567,60,0.03740648379052369
OA00080,Tarnbrook,96.19490768346104,132.19521828286554,4297,O,Rental Hubs,0.951,309,0.07191063532697231
OA00081,Tarnbrook,93.58486870752293,136.31468633859726,4073,K,Municipal Challenge,0.407,160,0.03928308372207218
OA00082,Tarnbrook,95.12268431174556,133.35806525846846,4915,J,Transient Renters,0.745,279,0.05676500508646999
OA00083,Tarnbrook,90.97816118959159,133.00634888945538,2026,G,Domestic Success,0.394,68,0.03356367226061204
OA00084,Tarnbrook,96.71076477649697,129.5907283472673,3216,H,Aspiring Homemakers,0.633,136,0.04228855721393035
OA00085,Tarnbrook,102.57658189717701,130.82350367661178,3935,L,Vintage Value,0.297,52,0.013214739517153748
OA00086,Tarnbrook,92.3012354432288,131.25859680845699,2483,G,Domestic Success,0.504,80,0.03221908981071285
OA00087,Tarnbrook,96.68467439477209,133.53675027531014,4548,O,Rental Hubs,0.736,305,0.06706244503078276
OA00088,Tarnbrook,95.55941110029866,141.41625333143807,2970,I,Family Basics,0.18,116,0.039057239057239054
OA00089,Tarnbrook,93.89132406472892,132.85265730122484,2552,O,Rental Hubs,0.661,178,0.06974921630094044
OA00090,Tarnbrook,91.1059105232761,120.24940843976165,2844,C,Country Living,0.099,58,0.020393811533052038
OA00091,Tarnbrook,94.71272122808628,130.79670825848007,5216,B,Prestige Positions,0.726,146,0.02799079754601227
OA00092,Halewood,52.48655272445095,110.9001143595257,354,C,Country Living,0.196,4,0.011299435028248588
OA00093,Halewood,46.613949532762184,106.75507433397262,3885,G,Domestic Success,0.591,117,0.030115830115830116
OA00094,Halewood,39.11604014598835,101.21575401870909,4532,E,Senior Security,0.219,58,0.012797881729920565
OA00095,Halewood,53.89232648862111,105.85440051809236,2722,F,Suburban Stability,0.159,74,0.02718589272593681
OA00096,Halewood,42.13771299100789,108.35746590623972,3531,K,Municipal Challenge,0.708,137,0.03879920702350609
OA00097,Halewood,43.54169389154723,106.92878496019839,3462,F,Suburban Stability,0.809,79,0.022819179664933565
OA00098,Halewood,41.698237052839595,104.38169341343658,3564,M,Modest Traditions,0.459,74,0.020763187429854096
OA00099,Halewood,43.18204626167019,109.30811835515388,3038,K,Municipal Challenge,0.755,133,0.04377880184331797
OA00100,Halewood,44.65686799008177,108.1884836483252,1789,A,City Prosperity,0.883,103,0.05757406372275014
OA00101,Halewood,43.35119085330509,109.72142756883989,803,H,Aspiring Homemakers,0.716,41,0.05105853051058531
OA00102,Halewood,40.52107963416883,110.70806577815,2039,F,Suburban Stability,0.449,66,0.032368808239333004
OA00103,Halewood,44.29888981339731,108.77591039045866,3482,K,Municipal Challenge,0.86,154,0.04422745548535324
OA00104,Halewood,48.25038403509313,103.5750692128541,1932,O,Rental Hubs,0.328,154,0.07971014492753623
OA00105,Halewood,42.63450345697808,109.16254249876883,5543,L,Vintage Value,0.722,58,0.010463647844127729
OA00106,Halewood,43.0340193600132,109.71459050828226,5143,B,Prestige Positions,0.699,154,0.029943612677425627
OA00107,Halewood,47.41655991249948,109.8694083089748,4899,N,Urban Cohesion,0.493,236,0.04817309655031639
OA00108,Halewood,37.40863174540256,107.44544963399447,2292,I,Family Basics,0.3,94,0.04101221640488656
OA00109,Halewood,47.68105013229435,107.68305472083554,3698,F,Suburban Stability,0.511,99,0.026771227690643593
OA00110,Halewood,44.41883647020533,106.66931967552307,5131,J,Transient Renters,0.776,315,0.061391541609822645
OA00111,Halewood,45.11807637465607,102.42641861053562,2826,M,Modest Traditions,0.356,63,0.022292993630573247
OA00112,Halewood,44.38375827171812,108.17846720279921,4235,F,Suburban Stability,0.926,105,0.024793388429752067
OA00113,Halewood,44.42034685016539,102.06177022370203,4736,I,Family Basics,0.339,162,0.03420608108108108
OA00114,Halewood,44.461298685976885,113.86252400582524,2663,L,Vintage Value,0.343,40,0.015020653398422831
OA00115,Halewood,41.99750064973945,108.34953696199159,1521,O,Rental Hubs,0.691,89,0.05851413543721236
OA00116,Halewood,42.1339725425583,110.00600624859392,5035,E,Senior Security,0.608,70,0.013902681231380337
OA00117,Halewood,39.75959593555738,108.7071481402196,2004,B,Prestige Positions,0.458,46,0.022954091816367265
OA00118,Halewood,49.7983960082138,113.9594150088678,2542,G,Domestic Success,0.221,86,0.03383162863886703
OA00119,Halewood,35.452234726519045,115.26321254954944,4457,D,Rural Reality,0.13,66,0.014808166928427194
OA00120,Halewood,46.99247960612867,107.29283913411578,2055,L,Vintage Value,0.572,25,0.012165450121654502
OA00121,Halewood,47.08277787238195,114.32047170652726,3153,F,Suburban Stability,0.278,80,0.02537266095781795
OA00122,Halewood,43.251133240658746,109.35629674662837,1821,L,Vintage Value,0.755,13,0.007138934651290499
OA00123,Halewood,43.07236017571434,109.84228833660401,1899,F,Suburban Stability,0.687,60,0.0315955766192733
OA00124,Halewood,41.691002766878626,109.60992391377803,3754,B,Prestige Positions,0.599,116,0.03090037293553543
OA00125,Halewood,45.152967731257526,108.0970976290685,3685,O,Rental Hubs,0.81,266,0.07218453188602442
OA00126,Halewood,39.49648831308584,104.10916116329429,2898,M,Modest Traditions,0.339,62,0.02139406487232574
OA00127,Halewood,46.95060108105097,112.06265312469215,5340,M,Modest Traditions,0.401,109,0.02041198501872659
OA00128,Halewood,31.859602846638474,94.5898544267976,3978,D,Rural Reality,0.037,66,0.016591251885369532
OA00129,Halewood,43.62408336595608,109.3270705755943,2856,H,Aspiring Homemakers,0.778,129,0.045168067226890755
OA00130,Halewood,44.89427280821301,114.37575812632187,2362,I,Family Basics,0.31,68,0.028789161727349702
OA00131,Halewood,41.56080057024435,107.20351399532697,3848,M,Modest Traditions,0.627,79,0.02053014553014553
OA00132,Halewood,50.79083226626509,116.01902578557285,4012,L,Vintage Value,0.148,46,0.011465603190428714
OA00133,Halewood,43.71090003191851,104.57225849471384,2673,F,Suburban Stability,0.535,84,0.031425364758698095
OA00134,Halewood,34.88963107565779,105.91900667608677,3736,C,Country Living,0.183,73,0.019539614561027836
OA00135,Halewood,45.499601133203605,103.03067643385245,3456,M,Modest Traditions,0.389,89,0.025752314814814815
OA00136,Halewood,42.20401021542756,112.6607112498472,4258,H,Aspiring Homemakers,0.403,201,0.04720526068576797
OA00137,Halewood,44.697801047793,108.43514000382463,3294,O,Rental Hubs,0.861,206,0.06253794778384943
OA00138,Halewood,44.12073436785556,106.165006588135,3924,A,City Prosperity,0.716,295,0.07517838939857288
OA00139,Halewood,48.403704972316376,112.59091164378617,3235,M,Modest Traditions,0.315,65,0.02009273570324575
OA00140,Halewood,55.91816906956649,109.66874536180671,5212,B,Prestige Positions,0.112,165,0.03165771297006907
OA00141,Halewood,35.429623800450024,118.82424422691736,5035,B,Prestige Positions,0.081,163,0.0323733862959285
OA00142,Halewood,40.802165534072955,106.89232547584614,2113,I,Family Basics,0.54,83,0.03928064363464269
OA00143,Halewood,45.41509125177363,102.14098396727357,3400,N,Urban Cohesion,0.334,157,0.04617647058823529
OA00144,Halewood,42.166875578800294,107.24277416250085,3815,K,Municipal Challenge,0.697,169,0.044298820445609434
OA00145,Halewood,44.85264017483341,108.52003693564829,3703,J,Transient Renters,0.834,230,0.062111801242236024
OA00146,Halewood,47.76544573342161,109.68142855716965,3441,N,Urban Cohesion,0.472,164,0.047660563789596044
OA00147,Ashcombe,152.61261789954582,147.35779145341968,2735,J,Transient Renters,0.851,152,0.05557586837294333
OA00148,Ashcombe,152.63497548152125,150.600925627457,3907,J,Transient Renters,0.615,222,0.05682109035065267
OA00149,Ashcombe,150.8750974998786,148.1710607980323,3594,H,Aspiring Homemakers,0.813,176,0.04897050639955482
OA00150,Ashcombe,149.5362770852201,149.69295464159728,3265,C,Country Living,0.581,69,0.02113323124042879
OA00151,Ashcombe,146.1037066316161,151.94876018272305,2029,K,Municipal Challenge,0.275,82,0.040413997042878264
OA00152,Ashcombe,157.05098355459637,147.7095450306476,509,L,Vintage Value,0.399,5,0.009823182711198428
OA00153,Ashcombe,143.58487360378302,163.15097307997817,4034,H,Aspiring Homemakers,0.043,212,0.052553296975706494
OA00154,Ashcombe,151.1430223296051,146.97989834078524,3938,M,Modest Traditions,0.785,87,0.022092432706957845
OA00155,Ashcombe,157.2335853570743,143.83343634221328,3349,F,Suburban Stability,0.296,87,0.02597790385189609
OA00156,Ashcombe,147.29451915089874,150.17713654879216,4018,O,Rental Hubs,0.39,297,0.07391737182677949
OA00157,Ashcombe,148.047552315032,146.65638259036893,3802,F,Suburban Stability,0.468,101,0.026564965807469754
OA00158,Ashcombe,152.61118785437426,146.66105530708418,1644,M,Modest Traditions,0.765,39,0.023722627737226276
OA00159,Ashcombe,151.493261802508,148.1789942188788,4632,I,Family Basics,0.907,172,0.037132987910189985
OA00160,Ashcombe,151.67649550098045,141.9690574251631,4317,E,Senior Security,0.334,62,0.014361825341672458
OA00161,Ashcombe,153.65687374737445,154.35637870501682,2851,E,Senior Security,0.303,41,0.014380918975797966
OA00162,Ashcombe,151.814259077579,146.7262020757851,3706,O,Rental Hubs,0.791,270,0.07285483000539665
OA00163,Ashcombe,156.57552594476732,146.76642964005808,3512,G,Domestic Success,0.422,115,0.03274487471526196
OA00164,Ashcombe,153.37133224151634,148.5740004462133,3140,F,Suburban Stability,0.763,83,0.02643312101910828
OA00165,Ashcombe,152.0943510146148,145.94468364400115,2746,O,Rental Hubs,0.688,183,0.06664238892935179
OA00166,Ashcombe,152.89470743096518,151.72349286666005,2942,O,Rental Hubs,0.498,205,0.06968048946295037
OA00167,Ashcombe,156.7817693365987,147.96413282970744,4269,B,Prestige Positions,0.419,134,0.03138908409463575
OA00168,Ashcombe,149.5866786959231,148.90826690772468,3173,I,Family Basics,0.626,113,0.03561298455720139
OA00169,Ashcombe,150.74431292294676,146.7162328429407,3140,H,Aspiring Homemakers,0.721,130,0.041401273885350316
OA00170,Ashcombe,152.8890384225297,154.39721615193864,4583,L,Vintage Value,0.309,66,0.014401047348898102
OA00171,Ashcombe,148.1357755039928,153.8645908886343,4185,C,Country Living,0.279,85,0.02031063321385902
OA00172,Ashcombe,139.95372689656014,145.178402261206,2101,O,Rental Hubs,0.105,151,0.07187053783912423
OA00173,Ashcombe,154.16309163143342,147.47570833546808,3442,B,Prestige Positions,0.667,86,0.024985473561882625
OA00174,Ashcombe,147.703211640741,155.9638361863635,2448,G,Domestic Success,0.193,75,0.030637254901960783
OA00175,Ashcombe,149.71069138484384,147.86167372326688,4102,O,Rental Hubs,0.659,332,0.08093612871769869
OA00176,Ashcombe,147.38139464895553,150.26243739889009,4476,H,Aspiring Homemakers,0.393,203,0.045352993744414656
OA00177,Ashcombe,148.0728927563712,146.1878591078351,4770,B,Prestige Positions,0.455,117,0.024528301886792454
OA00178,Ashcombe,152.09447417533428,152.89761831651492,3117,I,Family Basics,0.41,106,0.03400705806865576
OA00179,Ashcombe,153.05538897052614,149.60410328347132,3980,O,Rental Hubs,0.705,275,0.06909547738693467
OA00180,Ashcombe,155.51298341351048,153.38777436022704,3252,F,Suburban Stability,0.311,87,0.026752767527675275
OA00181,Ashcombe,136.6569962790931,150.775602703887,3480,G,Domestic Success,0.059,100,0.028735632183908046
OA00182,Ashcombe,151.34946145704558,148.65232726233094,3106,J,Transient Renters,0.846,183,0.058918222794591114
OA00183,Ashcombe,156.27627456134073,147.03743273220542,4290,M,Modest Traditions,0.451,100,0.023310023310023312
OA00184,Ashcombe,153.59958972040076,145.2386429498802,3267,H,Aspiring Homemakers,0.56,158,0.04836241199877563
OA00185,Ashcombe,151.9527714421486,146.75362008736923,3752,I,Family Basics,0.797,135,0.035980810234541576
OA00186,Ashcombe,149.00910148975717,152.23983707768045,3262,G,Domestic Success,0.389,86,0.026364193746167996
OA00187,Ashcombe,152.03349528106835,145.8791618494098,4223,H,Aspiring Homemakers,0.68,202,0.04783329386691925
OA00188,Ashcombe,151.33163606580558,148.6989480125994,3764,H,Aspiring Homemakers,0.839,172,0.04569606801275239
OA00189,Ashcombe,153.36847841423017,148.9569839819753,2978,G,Domestic Success,0.738,81,0.02719946272666219
OA00190,Ashcombe,150.60664447797754,155.76223697436745,4800,D,Rural Reality,0.238,90,0.01875
OA00191,Ashcombe,154.3882285629301,147.7249831422466,2315,I,Family Basics,0.646,78,0.033693304535637146
OA00192,Ashcombe,146.48687218937891,142.1369845138818,2566,H,Aspiring Homemakers,0.231,114,0.044427123928293066
OA00193,Ashcombe,152.06883961869156,150.56252152775554,2777,H,Aspiring Homemakers,0.627,126,0.045372704357220024
OA00194,Ashcombe,152.7011807176962,150.13638780261275,3664,G,Domestic Success,0.664,116,0.03165938864628821
OA00195,Ashcombe,148.978626250794,150.83559091060283,3458,C,Country Living,0.471,70,0.020242914979757085
OA00196,Ashcombe,153.3876716002708,148.2965567591765,3981,J,Transient Renters,0.773,211,0.05300175835217282
OA00197,Ashcombe,154.95559922955619,141.51611859203112,1980,D,Rural Reality,0.274,33,0.016666666666666666
OA00198,Ashcombe,154.35131186969375,158.67191252642837,5636,L,Vintage Value,0.137,58,0.01029098651525905
OA00199,Ashcombe,153.23393121120574,151.99693160258155,3368,E,Senior Security,0.467,37,0.010985748218527316
OA00200,Ashcombe,150.06072714855998,147.3172391010139,5152,I,Family Basics,0.688,186,0.03610248447204969
OA00201,Ashcombe,145.73592801086878,168.65040321461646,3286,C,Country Living,0.02,77,0.023432744978697503
OA00202,Ashcombe,153.43666644435814,148.1210713715307,4759,F,Suburban Stability,0.769,133,0.02794704769909645
OA00203,Ashcombe,152.78279047727378,149.3152552203566,2119,N,Urban Cohesion,0.757,120,0.056630486078338836
OA00204,Ashcombe,152.27484217839825,153.55351125399403,3178,E,Senior Security,0.364,48,0.015103838892385148
OA00205,Ashcombe,151.90055591524555,146.9148489340653,2658,L,Vintage Value,0.82,31,0.011662904439428141
OA00206,Ashcombe,151.73401454274014,147.53249936840518,2756,N,Urban Cohesion,0.907,133,0.04825834542815675
OA00207,Ashcombe,149.95942081417132,151.1914536940985,4408,H,Aspiring Homemakers,0.502,196,0.04446460980036298
OA00208,Ashcombe,154.87158796875102,148.37120022912902,3642,I,Family Basics,0.591,134,0.036792970895112576
OA00209,Ashcombe,148.7367248347278,148.63962423898911,3023,L,Vintage Value,0.546,33,0.010916308303010255
OA00210,Ashcombe,154.1121289658596,147.86458469111238,5233,G,Domestic Success,0.681,175,0.033441620485381233
OA00211,Ashcombe,150.58057089048148,149.0352381952273,3236,H,Aspiring Homemakers,0.727,145,0.04480840543881335
OA00212,Ashcombe,152.61996417453284,145.1971336095859,2673,E,Senior Security,0.593,43,0.016086793864571642
OA00213,Wrenfield,114.96485297844839,70.42521351168942,4867,I,Family Basics,0.377,173,0.03554551058146702
OA00214,Wrenfield,115.41442257143088,63.75049336649636,5276,H,Aspiring Homemakers,0.536,268,0.05079605761940864
OA00215,Wrenfield,119.70635195156294,68.57305988774894,2938,I,Family Basics,0.57,103,0.03505786249149081
OA00216,Wrenfield,116.08237470994973,58.66167849819436,4519,B,Prestige Positions,0.252,127,0.02810356273511839
OA00217,Wrenfield,119.93485874475824,67.9923609310203,2753,F,Suburban Stability,0.604,65,0.02361060661096985
OA00218,Wrenfield,110.45882184716439,67.64710277637211,1641,F,Suburban Stability,0.246,42,0.025594149908592323
OA00219,Wrenfield,116.27240173218806,63.764437842780936,1647,F,Suburban Stability,0.598,39,0.023679417122040074
OA00220,Wrenfield,120.733817764321,63.35416887666501,3098,F,Suburban Stability,0.501,94,0.030342156229825695
OA00221,Wrenfield,119.980759187258,62.629150545189646,2513,N,Urban Cohesion,0.491,102,0.04058893752487067
OA00222,Wrenfield,119.09091573565918,68.75328556581556,3503,H,Aspiring Homemakers,0.584,167,0.04767342278047388
OA00223,Wrenfield,119.06696373104663,65.47686662202939,3859,K,Municipal Challenge,0.806,151,0.03912930811090956
OA00224,Wrenfield,116.32024516746839,66.07539281278426,1806,E,Senior Security,0.737,27,0.014950166112956811
OA00225,Wrenfield,118.22550308490912,64.01715677567572,1856,C,Country Living,0.696,31,0.01670258620689655
OA00226,Wrenfield,116.32394321626909,58.72423376660688,3346,F,Suburban Stability,0.257,96,0.02869097429766886
OA00227,Wrenfield,119.83235919004271,68.24074610787073,3104,I,Family Basics,0.591,116,0.037371134020618556
OA00228,Wrenfield,115.05844793701617,64.63660439701809,2701,J,Transient Renters,0.555,158,0.058496853017400964
OA00229,Wrenfield,121.00648344818534,63.85309242007102,4225,F,Suburban Stability,0.511,113,0.026745562130177515
OA00230,Wrenfield,123.00595490192535,67.8774299235501,2695,L,Vintage Value,0.378,34,0.01261595547309833
OA00231,Wrenfield,119.64872509644391,67.04661080377949,3105,M,Modest Traditions,0.701,64,0.020611916264090178
OA00232,Wrenfield,115.69095395242717,69.56332975522055,3645,D,Rural Reality,0.462,45,0.012345679012345678
OA00233,Wrenfield,119.87657093288381,70.02764890664331,2372,M,Modest Traditions,0.446,50,0.021079258010118045
OA00234,Wrenfield,118.09122647469346,66.57240674240234,4045,O,Rental Hubs,0.9,303,0.07490729295426453
OA00235,Wrenfield,120.04112287122311,64.64507911599523,3607,I,Family Basics,0.641,135,0.03742722484058775
OA00236,Wrenfield,122.05437646857581,71.06240156070709,2659,G,Domestic Success,0.308,92,0.034599473486273034
OA00237,Wrenfield,115.67830371368869,64.17462253328227,1885,I,Family Basics,0.585,72,0.03819628647214854
OA00238,Wrenfield,115.91060686025531,66.11324548724035,3744,F,Suburban Stability,0.684,122,0.03258547008547009
OA00239,Wrenfield,118.82332324514849,64.73491846635419,1906,O,Rental Hubs,0.76,135,0.0708289611752361
OA00240,Wrenfield,120.0861798980644,63.70996819639104,4850,G,Domestic Success,0.569,147,0.030309278350515462
OA00241,Wrenfield,117.44741703996945,56.67365911363074,3147,L,Vintage Value,0.183,36,0.011439466158245948
OA00242,Wrenfield,117.75478141937573,66.33200485596578,3593,J,Transient Renters,0.928,202,0.05622042861118842
OA00243,Wrenfield,118.50332298092319,64.26184516176245,4030,E,Senior Security,0.72,70,0.017369727047146403
OA00244,Wrenfield,125.17786216241056,66.54220503936848,3323,O,Rental Hubs,0.27,249,0.07493229009930785
OA00245,Wrenfield,118.07117999311096,73.88411410431486,2488,B,Prestige Positions,0.238,74,0.0297427652733119
OA00246,Wrenfield,116.90512301630372,66.16553552237463,1101,M,Modest Traditions,0.818,15,0.013623978201634877
OA00247,Wrenfield,117.93064986644421,57.097519861834996,3193,C,Country Living,0.198,65,0.020357031005324145
OA00248,Wrenfield,123.12688458131528,62.38877941269826,2946,I,Family Basics,0.32,108,0.03665987780040733
OA00249,Wrenfield,117.88413157865232,65.3391405555308,3311,O,Rental Hubs,0.885,231,0.06976744186046512
OA00250,Wrenfield,113.47285755181674,59.73632906287838,4521,I,Family Basics,0.245,163,0.03605397036053971
OA00251,Wrenfield,119.64268819061591,65.5887533536479,3458,J,Transient Renters,0.735,211,0.06101792943898207
