asset_id,cost_centre,division,site,asset_class,cost,nbv
FA000114,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,89368.98,9645.24
FA000115,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,97390.39,34441.07
FA000116,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,91443.76,51875.43
FA000117,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,83264.81,19015.54
FA000118,TP-OPS,Thermal Products,TP-OPS site,IT equipment,66304.99,26268.48
FA000119,TP-OPS,Thermal Products,TP-OPS site,IT equipment,65277.83,82075.14
FA000120,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,66467.68,39418.89
FA000121,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,83163.05,60234.08
FA000122,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,67400.6,54759.01
FA000123,TP-OPS,Thermal Products,TP-OPS site,IT equipment,70694.62,16982.21
FA000124,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,75250.71,58636.89
FA000125,TP-OPS,Thermal Products,TP-OPS site,IT equipment,65082.47,24879.94
FA000126,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,83841.6,37118.5
FA000127,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,59168.17,39529.73
FA000128,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,89352.91,28697.55
FA000129,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,58144.86,68575.57
FA000130,TP-OPS,Thermal Products,TP-OPS site,IT equipment,95716.76,31609.06
FA000131,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,91188.03,18813.44
FA000132,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,62705.68,31782.32
FA000133,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,63108.44,13376.76
FA000134,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,69663.34,30952.68
FA000135,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,84660.59,48508.14
FA000136,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,88284.48,10300.11
FA000137,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,75700.42,32112.49
FA000138,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,95004.37,20925.53
FA000139,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,67617.61,22873.84
FA000140,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,71297.65,22940.27
FA000141,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,65700.3,17163.36
FA000142,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,72919.93,42069.44
FA000143,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,80750.76,25790.01
FA000144,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,91006.06,46784.3
FA000145,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,83615.85,23628.51
FA000146,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,89582.81,41022.82
FA000147,TP-OPS,Thermal Products,TP-OPS site,IT equipment,69934.44,34257.91
FA000148,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,98359.29,20360.7
FA000149,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,92389.74,27203.28
FA000150,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,95559.38,29250.39
FA000151,TP-OPS,Thermal Products,TP-OPS site,IT equipment,84864.94,13669.52
FA000152,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,83132.07,42334.67
FA000153,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,65986.96,29075.66
FA000154,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,79785.93,57425.8
FA000155,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,54431.94,32458.66
FA000156,TP-OPS,Thermal Products,TP-OPS site,IT equipment,53451.48,16026.04
FA000157,TP-OPS,Thermal Products,TP-OPS site,IT equipment,83982.81,16197.98
FA000158,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,77517.4,40430.99
FA000159,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,91878.22,58084.56
FA000160,TP-OPS,Thermal Products,TP-OPS site,IT equipment,59602.55,34737.74
FA000161,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,85424.3,33350.4
FA000162,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,74036.8,27588.94
FA000163,TP-OPS,Thermal Products,TP-OPS site,IT equipment,60094.58,38950.78
FA000164,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,79645.26,27135.65
FA000165,TP-OPS,Thermal Products,TP-OPS site,IT equipment,60480.23,33798.98
FA000166,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,94529.09,23572.3
FA000167,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,64627.52,29915.9
FA000168,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,93375.1,113929.28
FA000169,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,88824.23,44263.91
FA000170,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,86754.94,32630.59
FA000171,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,54672.79,29224.69
FA000172,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,87992.87,26578.51
FA000173,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,62045.03,37100.18
FA000174,TP-OPS,Thermal Products,TP-OPS site,IT equipment,82565.18,45323.98
FA000175,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,80356.16,33097.09
FA000176,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,93792.8,21648.31
FA000177,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,78783.91,38243.54
FA000178,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,76005.17,17042.44
FA000179,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,58436.16,23216.55
FA000180,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,80000.34,31268.49
FA000181,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,60624.93,33078.25
FA000182,TP-OPS,Thermal Products,TP-OPS site,IT equipment,63675.15,41845.62
FA000183,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,74909.6,34521.37
FA000184,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,62622.51,26247.57
FA000185,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,64575.08,27676.31
FA000186,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,60677.78,51714.05
FA000187,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,61909.46,39829.75
FA000188,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,74958.24,14961.35
FA000189,TP-OPS,Thermal Products,TP-OPS site,IT equipment,87477.77,52657.42
FA000190,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,78437.36,12742.0
FA000191,TP-OPS,Thermal Products,TP-OPS site,IT equipment,83644.72,22343.71
FA000192,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,84205.4,44551.12
FA000193,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,61137.42,47157.12
FA000194,TP-OPS,Thermal Products,TP-OPS site,IT equipment,93282.37,43604.67
FA000195,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,93536.95,34163.58
FA000196,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,97851.96,58974.96
FA000197,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,98114.61,42405.48
FA000198,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,67959.36,67216.09
FA000199,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,68496.85,56530.93
FA000200,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,98352.49,31230.08
FA000201,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,75252.22,57107.53
FA000202,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,70156.51,14441.7
FA000203,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,66638.78,23246.48
FA000204,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,81553.01,80543.45
FA000205,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,74919.41,17800.13
FA000206,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,57237.1,38406.27
FA000207,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,70857.26,18355.04
FA000208,TP-OPS,Thermal Products,TP-OPS site,IT equipment,68777.52,22406.25
FA000209,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,91874.91,36558.98
FA000210,TP-OPS,Thermal Products,TP-OPS site,IT equipment,58277.4,18260.89
FA000211,TP-OPS,Thermal Products,TP-OPS site,IT equipment,73059.84,28757.84
FA000212,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,72072.87,18818.24
FA000213,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,80556.55,53481.39
FA000214,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,68370.49,53509.85
FA000215,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,75856.67,38936.31
FA000216,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,63942.88,48345.18
FA000217,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,95069.1,21712.6
FA000218,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,64264.74,46974.91
FA000219,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,90552.73,19030.09
FA000220,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,71806.04,46752.24
FA000221,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,69890.0,27300.1
FA000222,TP-OPS,Thermal Products,TP-OPS site,IT equipment,78594.51,43187.8
FA000223,TP-OPS,Thermal Products,TP-OPS site,IT equipment,82978.82,33695.89
FA000224,TP-OPS,Thermal Products,TP-OPS site,IT equipment,55765.06,13838.32
FA000225,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,74171.03,65837.8
FA000226,TP-OPS,Thermal Products,TP-OPS site,IT equipment,55338.18,34617.97
FA000227,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,79687.26,13854.16
FA000228,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,57869.21,17381.4
FA000229,TP-OPS,Thermal Products,TP-OPS site,IT equipment,64935.92,67670.78
FA000230,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,70151.95,31827.22
FA000231,TP-OPS,Thermal Products,TP-OPS site,IT equipment,89600.61,42834.57
FA000232,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,90228.3,22656.08
FA000233,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,72841.22,48943.78
FA000234,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,83844.27,56550.86
FA000235,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,64976.59,26987.06
FA000236,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,88374.25,105476.06
FA000237,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,79365.95,21228.24
FA000238,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,91309.49,16544.29
FA000239,TP-OPS,Thermal Products,TP-OPS site,IT equipment,91965.42,25061.62
FA000240,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,53960.5,33797.74
FA000241,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,87392.37,26820.88
FA000242,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,67900.4,21661.17
FA000243,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,94879.58,39475.62
FA000244,TP-OPS,Thermal Products,TP-OPS site,Motor vehicles,86373.19,10940.11
FA000245,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,84744.71,33423.84
FA000246,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,82821.58,37996.46
FA000247,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,63800.15,19115.27
FA000248,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,60664.43,17498.13
FA000249,TP-OPS,Thermal Products,TP-OPS site,IT equipment,80272.98,25930.36
FA000250,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,56309.12,59476.0
FA000251,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,74288.88,19936.96
FA000252,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,87128.72,7286.4
FA000253,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,83310.8,33717.6
FA000254,TP-OPS,Thermal Products,TP-OPS site,IT equipment,92299.67,75780.73
FA000255,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,71708.27,63145.25
FA000256,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,62646.6,17008.5
FA000257,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,92881.73,86018.96
FA000258,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,99069.7,37630.3
FA000259,TP-OPS,Thermal Products,TP-OPS site,Fixtures & fittings,73217.92,36754.73
FA000260,TP-OPS,Thermal Products,TP-OPS site,Leasehold improvements,94600.84,27882.6
FA000261,TP-OPS,Thermal Products,TP-OPS site,Plant & machinery,88313.78,57520.97
FA000262,TP-SALES,Thermal Products,TP-SALES site,Leasehold improvements,64607.45,100838.77
FA000263,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,94669.29,33438.19
FA000264,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,75040.11,34117.72
FA000265,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,77765.52,94329.71
FA000266,TP-SALES,Thermal Products,TP-SALES site,IT equipment,87995.17,44141.87
FA000267,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,83159.04,19130.85
FA000268,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,78154.15,24705.17
FA000269,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,82200.95,28693.74
FA000270,TP-SALES,Thermal Products,TP-SALES site,IT equipment,98599.2,19728.23
FA000271,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,98495.78,39309.12
FA000272,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,84161.0,76752.29
FA000273,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,69764.35,29309.11
FA000274,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,64297.75,25755.38
FA000275,TP-SALES,Thermal Products,TP-SALES site,IT equipment,69166.83,31391.46
FA000276,TP-SALES,Thermal Products,TP-SALES site,Leasehold improvements,88343.41,10956.74
FA000277,TP-SALES,Thermal Products,TP-SALES site,Leasehold improvements,98206.13,73827.38
FA000278,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,90902.49,23461.39
FA000279,TP-SALES,Thermal Products,TP-SALES site,Fixtures & fittings,58193.76,53930.03
FA000280,TP-SALES,Thermal Products,TP-SALES site,IT equipment,66535.13,49768.0
FA000281,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,66110.61,18002.94
FA000282,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,94427.28,30567.72
FA000283,TP-SALES,Thermal Products,TP-SALES site,Fixtures & fittings,68960.47,76717.27
FA000284,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,57113.01,15436.1
FA000285,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,90671.46,90604.39
FA000286,TP-SALES,Thermal Products,TP-SALES site,IT equipment,69230.51,117294.48
FA000287,TP-SALES,Thermal Products,TP-SALES site,Fixtures & fittings,76684.59,41486.18
FA000288,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,94964.35,43618.07
FA000289,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,93953.52,24702.64
FA000290,TP-SALES,Thermal Products,TP-SALES site,IT equipment,54950.88,31358.15
FA000291,TP-SALES,Thermal Products,TP-SALES site,IT equipment,83145.64,23220.17
FA000292,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,76589.4,30074.87
FA000293,TP-SALES,Thermal Products,TP-SALES site,Motor vehicles,76221.53,34942.76
FA000294,TP-SALES,Thermal Products,TP-SALES site,Fixtures & fittings,75556.5,46174.86
FA000295,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,55734.9,30935.16
FA000296,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,90057.41,52229.95
FA000297,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,54169.08,21533.1
FA000298,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,91348.68,18212.4
FA000299,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,97857.0,20373.44
FA000300,TP-SALES,Thermal Products,TP-SALES site,Motor vehicles,70116.43,58600.31
FA000301,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,95233.63,36571.58
FA000302,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,87705.95,93225.53
FA000303,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,71073.55,15584.25
FA000304,TP-SALES,Thermal Products,TP-SALES site,Motor vehicles,75413.24,47838.02
FA000305,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,92959.45,28995.46
FA000306,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,87026.06,34149.67
FA000307,TP-SALES,Thermal Products,TP-SALES site,Leasehold improvements,97159.54,49358.59
FA000308,TP-SALES,Thermal Products,TP-SALES site,Plant & machinery,66453.14,39068.97
FA000309,TP-SALES,Thermal Products,TP-SALES site,Leasehold improvements,81027.58,51890.07
FA000310,TP-SALES,Thermal Products,TP-SALES site,IT equipment,73787.21,17257.7
